viti,komuna,personeli administrativ,gjinia,Personeli administrativ sipas niveleve
2017/2018,Skënderaj,I mesëm i lartë,Meshkuj,15
2017/2018,Skënderaj,I mesëm i lartë,Femra,2
2017/2018,Skënderaj,I mesëm i lartë,Gjithsej,17
2017/2018,Suharekë,Parashkollor,Meshkuj,-
2017/2018,Suharekë,Parashkollor,Femra,1
2017/2018,Suharekë,Parashkollor,Gjithsej,1
2017/2018,Suharekë,Fillor dhe i mesëm i ulët,Meshkuj,40
2017/2018,Suharekë,Fillor dhe i mesëm i ulët,Femra,10
2017/2018,Suharekë,Fillor dhe i mesëm i ulët,Gjithsej,50
2017/2018,Suharekë,I mesëm i lartë,Meshkuj,7
2017/2018,Suharekë,I mesëm i lartë,Femra,2
2017/2018,Suharekë,I mesëm i lartë,Gjithsej,9
2017/2018,Viti,Parashkollor,Meshkuj,-
2017/2018,Viti,Parashkollor,Femra,1
2017/2018,Viti,Parashkollor,Gjithsej,1
2017/2018,Viti,Fillor dhe i mesëm i ulët,Meshkuj,25
2017/2018,Viti,Fillor dhe i mesëm i ulët,Femra,4
2017/2018,Viti,Fillor dhe i mesëm i ulët,Gjithsej,29
2017/2018,Viti,I mesëm i lartë,Meshkuj,7
2017/2018,Viti,I mesëm i lartë,Femra,-
2017/2018,Viti,I mesëm i lartë,Gjithsej,7
2017/2018,Vushtrri,Parashkollor,Meshkuj,4
2017/2018,Vushtrri,Parashkollor,Femra,2
2017/2018,Vushtrri,Parashkollor,Gjithsej,6
2017/2018,Vushtrri,Fillor dhe i mesëm i ulët,Meshkuj,41
2017/2018,Vushtrri,Fillor dhe i mesëm i ulët,Femra,9
2017/2018,Vushtrri,Fillor dhe i mesëm i ulët,Gjithsej,50
2017/2018,Vushtrri,I mesëm i lartë,Meshkuj,14
2017/2018,Vushtrri,I mesëm i lartë,Femra,1
2017/2018,Vushtrri,I mesëm i lartë,Gjithsej,15
2017/2018,Zubin Potok,Parashkollor,Meshkuj,-
2017/2018,Zubin Potok,Parashkollor,Femra,-
2017/2018,Zubin Potok,Parashkollor,Gjithsej,-
2017/2018,Zubin Potok,Fillor dhe i mesëm i ulët,Meshkuj,1
2017/2018,Zubin Potok,Fillor dhe i mesëm i ulët,Femra,1
2017/2018,Zubin Potok,Fillor dhe i mesëm i ulët,Gjithsej,2
2017/2018,Zubin Potok,I mesëm i lartë,Meshkuj,-
2017/2018,Zubin Potok,I mesëm i lartë,Femra,-
2017/2018,Zubin Potok,I mesëm i lartë,Gjithsej,-
2017/2018,Zveçan,Parashkollor,Meshkuj,-
2017/2018,Zveçan,Parashkollor,Femra,-
2017/2018,Zveçan,Parashkollor,Gjithsej,-
2017/2018,Zveçan,Fillor dhe i mesëm i ulët,Meshkuj,1
2017/2018,Zveçan,Fillor dhe i mesëm i ulët,Femra,-
2017/2018,Zveçan,Fillor dhe i mesëm i ulët,Gjithsej,1
2017/2018,Zveçan,I mesëm i lartë,Meshkuj,-
2017/2018,Zveçan,I mesëm i lartë,Femra,-
2017/2018,Zveçan,I mesëm i lartë,Gjithsej,-
2017/2018,Kllokot,Parashkollor,Meshkuj,-
2017/2018,Kllokot,Parashkollor,Femra,-
2017/2018,Kllokot,Parashkollor,Gjithsej,-
2017/2018,Kllokot,Fillor dhe i mesëm i ulët,Meshkuj,1
2017/2018,Kllokot,Fillor dhe i mesëm i ulët,Femra,-
2017/2018,Kllokot,Fillor dhe i mesëm i ulët,Gjithsej,1
2017/2018,Kllokot,I mesëm i lartë,Meshkuj,-
2017/2018,Kllokot,I mesëm i lartë,Femra,-
2017/2018,Kllokot,I mesëm i lartë,Gjithsej,-
2017/2018,Gjithsej,Parashkollor,Meshkuj,15
2017/2018,Gjithsej,Parashkollor,Femra,78
2017/2018,Gjithsej,Parashkollor,Gjithsej,93
2017/2018,Gjithsej,Fillor dhe i mesëm i ulët,Meshkuj,899
2017/2018,Gjithsej,Fillor dhe i mesëm i ulët,Femra,319
2017/2018,Gjithsej,Fillor dhe i mesëm i ulët,Gjithsej,1218
2017/2018,Gjithsej,I mesëm i lartë,Meshkuj,270
2017/2018,Gjithsej,I mesëm i lartë,Femra,78
2017/2018,Gjithsej,I mesëm i lartë,Gjithsej,348
2018/2019,Deçan,Parashkollor,Meshkuj,-
2018/2019,Deçan,Parashkollor,Femra,-
2018/2019,Deçan,Parashkollor,Gjithsej,-
2018/2019,Deçan,Fillor dhe i mesëm i ulët,Meshkuj,18
2018/2019,Deçan,Fillor dhe i mesëm i ulët,Femra,4
2018/2019,Deçan,Fillor dhe i mesëm i ulët,Gjithsej,22
2018/2019,Deçan,I mesëm i lartë,Meshkuj,8
2018/2019,Deçan,I mesëm i lartë,Femra,1
2018/2019,Deçan,I mesëm i lartë,Gjithsej,9
2018/2019,Dragash,Parashkollor,Meshkuj,-
2018/2019,Dragash,Parashkollor,Femra,-
2018/2019,Dragash,Parashkollor,Gjithsej,-
2018/2019,Dragash,Fillor dhe i mesëm i ulët,Meshkuj,17
2018/2019,Dragash,Fillor dhe i mesëm i ulët,Femra,-
2018/2019,Dragash,Fillor dhe i mesëm i ulët,Gjithsej,17
2018/2019,Dragash,I mesëm i lartë,Meshkuj,3
2018/2019,Dragash,I mesëm i lartë,Femra,-
2018/2019,Dragash,I mesëm i lartë,Gjithsej,3
2018/2019,Ferizaj,Parashkollor,Meshkuj,-
2018/2019,Ferizaj,Parashkollor,Femra,2
2018/2019,Ferizaj,Parashkollor,Gjithsej,2
2018/2019,Ferizaj,Fillor dhe i mesëm i ulët,Meshkuj,68
2018/2019,Ferizaj,Fillor dhe i mesëm i ulët,Femra,32
2018/2019,Ferizaj,Fillor dhe i mesëm i ulët,Gjithsej,100
2018/2019,Ferizaj,I mesëm i lartë,Meshkuj,33
2018/2019,Ferizaj,I mesëm i lartë,Femra,8
2018/2019,Ferizaj,I mesëm i lartë,Gjithsej,41
2018/2019,Fushë Kosovë,Parashkollor,Meshkuj,-
2018/2019,Fushë Kosovë,Parashkollor,Femra,3
2018/2019,Fushë Kosovë,Parashkollor,Gjithsej,3
2018/2019,Fushë Kosovë,Fillor dhe i mesëm i ulët,Meshkuj,12
2018/2019,Fushë Kosovë,Fillor dhe i mesëm i ulët,Femra,6
2018/2019,Fushë Kosovë,Fillor dhe i mesëm i ulët,Gjithsej,18
2018/2019,Fushë Kosovë,I mesëm i lartë,Meshkuj,4
2018/2019,Fushë Kosovë,I mesëm i lartë,Femra,-
2018/2019,Fushë Kosovë,I mesëm i lartë,Gjithsej,4
2018/2019,Gjakovë,Parashkollor,Meshkuj,1
2018/2019,Gjakovë,Parashkollor,Femra,5
2018/2019,Gjakovë,Parashkollor,Gjithsej,6
2018/2019,Gjakovë,Fillor dhe i mesëm i ulët,Meshkuj,48
2018/2019,Gjakovë,Fillor dhe i mesëm i ulët,Femra,18
2018/2019,Gjakovë,Fillor dhe i mesëm i ulët,Gjithsej,66
2018/2019,Gjakovë,I mesëm i lartë,Meshkuj,8
2018/2019,Gjakovë,I mesëm i lartë,Femra,4
2018/2019,Gjakovë,I mesëm i lartë,Gjithsej,12
2018/2019,Gjilan,Parashkollor,Meshkuj,1
2018/2019,Gjilan,Parashkollor,Femra,4
2018/2019,Gjilan,Parashkollor,Gjithsej,5
2018/2019,Gjilan,Fillor dhe i mesëm i ulët,Meshkuj,41
2018/2019,Gjilan,Fillor dhe i mesëm i ulët,Femra,12
2018/2019,Gjilan,Fillor dhe i mesëm i ulët,Gjithsej,53
2018/2019,Gjilan,I mesëm i lartë,Meshkuj,19
2018/2019,Gjilan,I mesëm i lartë,Femra,4
2018/2019,Gjilan,I mesëm i lartë,Gjithsej,23
2018/2019,Gllogovc,Parashkollor,Meshkuj,1
2018/2019,Gllogovc,Parashkollor,Femra,2
2018/2019,Gllogovc,Parashkollor,Gjithsej,3
2018/2019,Gllogovc,Fillor dhe i mesëm i ulët,Meshkuj,42
2018/2019,Gllogovc,Fillor dhe i mesëm i ulët,Femra,8
2018/2019,Gllogovc,Fillor dhe i mesëm i ulët,Gjithsej,50
2018/2019,Gllogovc,I mesëm i lartë,Meshkuj,6
2018/2019,Gllogovc,I mesëm i lartë,Femra,2
2018/2019,Gllogovc,I mesëm i lartë,Gjithsej,8
2018/2019,Hani i Elezit,Parashkollor,Meshkuj,-
2018/2019,Hani i Elezit,Parashkollor,Femra,-
2018/2019,Hani i Elezit,Parashkollor,Gjithsej,-
2018/2019,Hani i Elezit,Fillor dhe i mesëm i ulët,Meshkuj,5
2018/2019,Hani i Elezit,Fillor dhe i mesëm i ulët,Femra,-
2018/2019,Hani i Elezit,Fillor dhe i mesëm i ulët,Gjithsej,5
2018/2019,Hani i Elezit,I mesëm i lartë,Meshkuj,1
2018/2019,Hani i Elezit,I mesëm i lartë,Femra,-
2018/2019,Hani i Elezit,I mesëm i lartë,Gjithsej,1
2018/2019,Istog,Parashkollor,Meshkuj,-
2018/2019,Istog,Parashkollor,Femra,3
2018/2019,Istog,Parashkollor,Gjithsej,3
2018/2019,Istog,Fillor dhe i mesëm i ulët,Meshkuj,14
2018/2019,Istog,Fillor dhe i mesëm i ulët,Femra,5
2018/2019,Istog,Fillor dhe i mesëm i ulët,Gjithsej,19
2018/2019,Istog,I mesëm i lartë,Meshkuj,2
2018/2019,Istog,I mesëm i lartë,Femra,2
2018/2019,Istog,I mesëm i lartë,Gjithsej,4
2018/2019,Junik,Parashkollor,Meshkuj,-
2018/2019,Junik,Parashkollor,Femra,-
2018/2019,Junik,Parashkollor,Gjithsej,-
2018/2019,Junik,Fillor dhe i mesëm i ulët,Meshkuj,2
2018/2019,Junik,Fillor dhe i mesëm i ulët,Femra,-
2018/2019,Junik,Fillor dhe i mesëm i ulët,Gjithsej,2
2018/2019,Junik,I mesëm i lartë,Meshkuj,1
2018/2019,Junik,I mesëm i lartë,Femra,-
2018/2019,Junik,I mesëm i lartë,Gjithsej,1
2018/2019,Kaçanik,Parashkollor,Meshkuj,-
2018/2019,Kaçanik,Parashkollor,Femra,-
2018/2019,Kaçanik,Parashkollor,Gjithsej,-
2018/2019,Kaçanik,Fillor dhe i mesëm i ulët,Meshkuj,23
2018/2019,Kaçanik,Fillor dhe i mesëm i ulët,Femra,3
2018/2019,Kaçanik,Fillor dhe i mesëm i ulët,Gjithsej,26
2018/2019,Kaçanik,I mesëm i lartë,Meshkuj,6
2018/2019,Kaçanik,I mesëm i lartë,Femra,-
2018/2019,Kaçanik,I mesëm i lartë,Gjithsej,6
2018/2019,Kamenicë,Parashkollor,Meshkuj,1
2018/2019,Kamenicë,Parashkollor,Femra,3
2018/2019,Kamenicë,Parashkollor,Gjithsej,4
2018/2019,Kamenicë,Fillor dhe i mesëm i ulët,Meshkuj,18
2018/2019,Kamenicë,Fillor dhe i mesëm i ulët,Femra,8
2018/2019,Kamenicë,Fillor dhe i mesëm i ulët,Gjithsej,26
2018/2019,Kamenicë,I mesëm i lartë,Meshkuj,4
2018/2019,Kamenicë,I mesëm i lartë,Femra,1
2018/2019,Kamenicë,I mesëm i lartë,Gjithsej,5
2018/2019,Klinë,Parashkollor,Meshkuj,-
2018/2019,Klinë,Parashkollor,Femra,1
2018/2019,Klinë,Parashkollor,Gjithsej,1
2018/2019,Klinë,Fillor dhe i mesëm i ulët,Meshkuj,19
2018/2019,Klinë,Fillor dhe i mesëm i ulët,Femra,6
2018/2019,Klinë,Fillor dhe i mesëm i ulët,Gjithsej,25
2018/2019,Klinë,I mesëm i lartë,Meshkuj,2
2018/2019,Klinë,I mesëm i lartë,Femra,1
2018/2019,Klinë,I mesëm i lartë,Gjithsej,3
2018/2019,Leposaviq,Parashkollor,Meshkuj,-
2018/2019,Leposaviq,Parashkollor,Femra,-
2018/2019,Leposaviq,Parashkollor,Gjithsej,-
2018/2019,Leposaviq,Fillor dhe i mesëm i ulët,Meshkuj,-
2018/2019,Leposaviq,Fillor dhe i mesëm i ulët,Femra,1
2018/2019,Leposaviq,Fillor dhe i mesëm i ulët,Gjithsej,1
2018/2019,Leposaviq,I mesëm i lartë,Meshkuj,-
2018/2019,Leposaviq,I mesëm i lartë,Femra,-
2018/2019,Leposaviq,I mesëm i lartë,Gjithsej,-
2018/2019,Lipjan,Parashkollor,Meshkuj,1
2018/2019,Lipjan,Parashkollor,Femra,1
2018/2019,Lipjan,Parashkollor,Gjithsej,2
2018/2019,Lipjan,Fillor dhe i mesëm i ulët,Meshkuj,34
2018/2019,Lipjan,Fillor dhe i mesëm i ulët,Femra,8
2018/2019,Lipjan,Fillor dhe i mesëm i ulët,Gjithsej,42
2018/2019,Lipjan,I mesëm i lartë,Meshkuj,7
2018/2019,Lipjan,I mesëm i lartë,Femra,2
2018/2019,Lipjan,I mesëm i lartë,Gjithsej,9
2018/2019,Malishevë,Parashkollor,Meshkuj,1
2018/2019,Malishevë,Parashkollor,Femra,-
2018/2019,Malishevë,Parashkollor,Gjithsej,1
2018/2019,Malishevë,Fillor dhe i mesëm i ulët,Meshkuj,34
2018/2019,Malishevë,Fillor dhe i mesëm i ulët,Femra,7
2018/2019,Malishevë,Fillor dhe i mesëm i ulët,Gjithsej,41
2018/2019,Malishevë,I mesëm i lartë,Meshkuj,12
2018/2019,Malishevë,I mesëm i lartë,Femra,3
2018/2019,Malishevë,I mesëm i lartë,Gjithsej,15
2018/2019,Mamushë,Parashkollor,Meshkuj,-
2018/2019,Mamushë,Parashkollor,Femra,-
2018/2019,Mamushë,Parashkollor,Gjithsej,-
2018/2019,Mamushë,Fillor dhe i mesëm i ulët,Meshkuj,2
2018/2019,Mamushë,Fillor dhe i mesëm i ulët,Femra,-
2018/2019,Mamushë,Fillor dhe i mesëm i ulët,Gjithsej,2
2018/2019,Mamushë,I mesëm i lartë,Meshkuj,1
2018/2019,Mamushë,I mesëm i lartë,Femra,-
2018/2019,Mamushë,I mesëm i lartë,Gjithsej,1
2018/2019,Mitrovicë,Parashkollor,Meshkuj,2
2018/2019,Mitrovicë,Parashkollor,Femra,7
2018/2019,Mitrovicë,Parashkollor,Gjithsej,9
2018/2019,Mitrovicë,Fillor dhe i mesëm i ulët,Meshkuj,56
2018/2019,Mitrovicë,Fillor dhe i mesëm i ulët,Femra,21
2018/2019,Mitrovicë,Fillor dhe i mesëm i ulët,Gjithsej,77
2018/2019,Mitrovicë,I mesëm i lartë,Meshkuj,16
2018/2019,Mitrovicë,I mesëm i lartë,Femra,8
2018/2019,Mitrovicë,I mesëm i lartë,Gjithsej,24
2018/2019,Novobërdë,Parashkollor,Meshkuj,-
2018/2019,Novobërdë,Parashkollor,Femra,-
2018/2019,Novobërdë,Parashkollor,Gjithsej,-
2018/2019,Novobërdë,Fillor dhe i mesëm i ulët,Meshkuj,4
2018/2019,Novobërdë,Fillor dhe i mesëm i ulët,Femra,1
2018/2019,Novobërdë,Fillor dhe i mesëm i ulët,Gjithsej,5
2018/2019,Novobërdë,I mesëm i lartë,Meshkuj,1
2018/2019,Novobërdë,I mesëm i lartë,Femra,-
2018/2019,Novobërdë,I mesëm i lartë,Gjithsej,1
2018/2019,Obiliq,Parashkollor,Meshkuj,-
2018/2019,Obiliq,Parashkollor,Femra,2
2018/2019,Obiliq,Parashkollor,Gjithsej,2
2018/2019,Obiliq,Fillor dhe i mesëm i ulët,Meshkuj,17
2018/2019,Obiliq,Fillor dhe i mesëm i ulët,Femra,8
2018/2019,Obiliq,Fillor dhe i mesëm i ulët,Gjithsej,25
2018/2019,Obiliq,I mesëm i lartë,Meshkuj,3
2018/2019,Obiliq,I mesëm i lartë,Femra,-
2018/2019,Obiliq,I mesëm i lartë,Gjithsej,3
2018/2019,Pejë,Parashkollor,Meshkuj,-
2018/2019,Pejë,Parashkollor,Femra,11
2018/2019,Pejë,Parashkollor,Gjithsej,11
2018/2019,Pejë,Fillor dhe i mesëm i ulët,Meshkuj,45
2018/2019,Pejë,Fillor dhe i mesëm i ulët,Femra,34
2018/2019,Pejë,Fillor dhe i mesëm i ulët,Gjithsej,79
2018/2019,Pejë,I mesëm i lartë,Meshkuj,10
2018/2019,Pejë,I mesëm i lartë,Femra,4
2018/2019,Pejë,I mesëm i lartë,Gjithsej,14
2018/2019,Podujevë,Parashkollor,Meshkuj,-
2018/2019,Podujevë,Parashkollor,Femra,4
2018/2019,Podujevë,Parashkollor,Gjithsej,4
2018/2019,Podujevë,Fillor dhe i mesëm i ulët,Meshkuj,55
2018/2019,Podujevë,Fillor dhe i mesëm i ulët,Femra,21
2018/2019,Podujevë,Fillor dhe i mesëm i ulët,Gjithsej,76
2018/2019,Podujevë,I mesëm i lartë,Meshkuj,5
2018/2019,Podujevë,I mesëm i lartë,Femra,7
2018/2019,Podujevë,I mesëm i lartë,Gjithsej,12
2018/2019,Prishtinë,Parashkollor,Meshkuj,4
2018/2019,Prishtinë,Parashkollor,Femra,25
2018/2019,Prishtinë,Parashkollor,Gjithsej,29
2018/2019,Prishtinë,Fillor dhe i mesëm i ulët,Meshkuj,54
2018/2019,Prishtinë,Fillor dhe i mesëm i ulët,Femra,67
2018/2019,Prishtinë,Fillor dhe i mesëm i ulët,Gjithsej,121
2018/2019,Prishtinë,I mesëm i lartë,Meshkuj,44
2018/2019,Prishtinë,I mesëm i lartë,Femra,20
2018/2019,Prishtinë,I mesëm i lartë,Gjithsej,64
2018/2019,Prizren,Parashkollor,Meshkuj,-
2018/2019,Prizren,Parashkollor,Femra,-
2018/2019,Prizren,Parashkollor,Gjithsej,-
2018/2019,Prizren,Fillor dhe i mesëm i ulët,Meshkuj,73
2018/2019,Prizren,Fillor dhe i mesëm i ulët,Femra,30
2018/2019,Prizren,Fillor dhe i mesëm i ulët,Gjithsej,103
2018/2019,Prizren,I mesëm i lartë,Meshkuj,22
2018/2019,Prizren,I mesëm i lartë,Femra,11
2018/2019,Prizren,I mesëm i lartë,Gjithsej,33
2018/2019,Rahovec,Parashkollor,Meshkuj,-
2018/2019,Rahovec,Parashkollor,Femra,1
2018/2019,Rahovec,Parashkollor,Gjithsej,1
2018/2019,Rahovec,Fillor dhe i mesëm i ulët,Meshkuj,26
2018/2019,Rahovec,Fillor dhe i mesëm i ulët,Femra,3
2018/2019,Rahovec,Fillor dhe i mesëm i ulët,Gjithsej,29
2018/2019,Rahovec,I mesëm i lartë,Meshkuj,4
2018/2019,Rahovec,I mesëm i lartë,Femra,1
2018/2019,Rahovec,I mesëm i lartë,Gjithsej,5
2018/2019,Shtërpcë,Parashkollor,Meshkuj,-
2018/2019,Shtërpcë,Parashkollor,Femra,-
2018/2019,Shtërpcë,Parashkollor,Gjithsej,-
2018/2019,Shtërpcë,Fillor dhe i mesëm i ulët,Meshkuj,2
2018/2019,Shtërpcë,Fillor dhe i mesëm i ulët,Femra,-
2018/2019,Shtërpcë,Fillor dhe i mesëm i ulët,Gjithsej,2
2018/2019,Shtërpcë,I mesëm i lartë,Meshkuj,1
2018/2019,Shtërpcë,I mesëm i lartë,Femra,-
2018/2019,Shtërpcë,I mesëm i lartë,Gjithsej,1
2018/2019,Shtime,Parashkollor,Meshkuj,-
2018/2019,Shtime,Parashkollor,Femra,1
2018/2019,Shtime,Parashkollor,Gjithsej,1
2018/2019,Shtime,Fillor dhe i mesëm i ulët,Meshkuj,10
2018/2019,Shtime,Fillor dhe i mesëm i ulët,Femra,4
2018/2019,Shtime,Fillor dhe i mesëm i ulët,Gjithsej,14
2018/2019,Shtime,I mesëm i lartë,Meshkuj,1
2018/2019,Shtime,I mesëm i lartë,Femra,-
2018/2019,Shtime,I mesëm i lartë,Gjithsej,1
2018/2019,Skënderaj,Parashkollor,Meshkuj,-
2018/2019,Skënderaj,Parashkollor,Femra,3
2018/2019,Skënderaj,Parashkollor,Gjithsej,3
2018/2019,Skënderaj,Fillor dhe i mesëm i ulët,Meshkuj,41
2018/2019,Skënderaj,Fillor dhe i mesëm i ulët,Femra,6
2018/2019,Skënderaj,Fillor dhe i mesëm i ulët,Gjithsej,47
2018/2019,Skënderaj,I mesëm i lartë,Meshkuj,14
2018/2019,Skënderaj,I mesëm i lartë,Femra,2
2018/2019,Skënderaj,I mesëm i lartë,Gjithsej,16
2018/2019,Suharekë,Parashkollor,Meshkuj,-
2018/2019,Suharekë,Parashkollor,Femra,1
2018/2019,Suharekë,Parashkollor,Gjithsej,1
2018/2019,Suharekë,Fillor dhe i mesëm i ulët,Meshkuj,40
2018/2019,Suharekë,Fillor dhe i mesëm i ulët,Femra,10
2018/2019,Suharekë,Fillor dhe i mesëm i ulët,Gjithsej,50
2018/2019,Suharekë,I mesëm i lartë,Meshkuj,7
2018/2019,Suharekë,I mesëm i lartë,Femra,2
2018/2019,Suharekë,I mesëm i lartë,Gjithsej,9
2018/2019,Viti,Parashkollor,Meshkuj,-
2018/2019,Viti,Parashkollor,Femra,1
2018/2019,Viti,Parashkollor,Gjithsej,1
2018/2019,Viti,Fillor dhe i mesëm i ulët,Meshkuj,24
2018/2019,Viti,Fillor dhe i mesëm i ulët,Femra,4
2018/2019,Viti,Fillor dhe i mesëm i ulët,Gjithsej,28
2018/2019,Viti,I mesëm i lartë,Meshkuj,7
2018/2019,Viti,I mesëm i lartë,Femra,-
2018/2019,Viti,I mesëm i lartë,Gjithsej,7
2018/2019,Vushtrri,Parashkollor,Meshkuj,5
2018/2019,Vushtrri,Parashkollor,Femra,3
2018/2019,Vushtrri,Parashkollor,Gjithsej,8
2018/2019,Vushtrri,Fillor dhe i mesëm i ulët,Meshkuj,41
2018/2019,Vushtrri,Fillor dhe i mesëm i ulët,Femra,9
2018/2019,Vushtrri,Fillor dhe i mesëm i ulët,Gjithsej,50
2018/2019,Vushtrri,I mesëm i lartë,Meshkuj,14
2018/2019,Vushtrri,I mesëm i lartë,Femra,1
2018/2019,Vushtrri,I mesëm i lartë,Gjithsej,15
2018/2019,Zubin Potok,Parashkollor,Meshkuj,-
2018/2019,Zubin Potok,Parashkollor,Femra,-
2018/2019,Zubin Potok,Parashkollor,Gjithsej,-
2018/2019,Zubin Potok,Fillor dhe i mesëm i ulët,Meshkuj,1
2018/2019,Zubin Potok,Fillor dhe i mesëm i ulët,Femra,1
2018/2019,Zubin Potok,Fillor dhe i mesëm i ulët,Gjithsej,2
2018/2019,Zubin Potok,I mesëm i lartë,Meshkuj,-
2018/2019,Zubin Potok,I mesëm i lartë,Femra,-
2018/2019,Zubin Potok,I mesëm i lartë,Gjithsej,-
2018/2019,Zveçan,Parashkollor,Meshkuj,-
2018/2019,Zveçan,Parashkollor,Femra,-
2018/2019,Zveçan,Parashkollor,Gjithsej,-
2018/2019,Zveçan,Fillor dhe i mesëm i ulët,Meshkuj,1
2018/2019,Zveçan,Fillor dhe i mesëm i ulët,Femra,-
2018/2019,Zveçan,Fillor dhe i mesëm i ulët,Gjithsej,1
2018/2019,Zveçan,I mesëm i lartë,Meshkuj,-
2018/2019,Zveçan,I mesëm i lartë,Femra,-
2018/2019,Zveçan,I mesëm i lartë,Gjithsej,-
2018/2019,Kllokot,Parashkollor,Meshkuj,-
2018/2019,Kllokot,Parashkollor,Femra,-
2018/2019,Kllokot,Parashkollor,Gjithsej,-
2018/2019,Kllokot,Fillor dhe i mesëm i ulët,Meshkuj,1
2018/2019,Kllokot,Fillor dhe i mesëm i ulët,Femra,-
2018/2019,Kllokot,Fillor dhe i mesëm i ulët,Gjithsej,1
2018/2019,Kllokot,I mesëm i lartë,Meshkuj,-
2018/2019,Kllokot,I mesëm i lartë,Femra,-
2018/2019,Kllokot,I mesëm i lartë,Gjithsej,-
2018/2019,Gjithsej,Parashkollor,Meshkuj,-
2018/2019,Gjithsej,Parashkollor,Femra,-
2018/2019,Gjithsej,Parashkollor,Gjithsej,-
2018/2019,Gjithsej,Fillor dhe i mesëm i ulët,Meshkuj,-
2018/2019,Gjithsej,Fillor dhe i mesëm i ulët,Femra,-
2018/2019,Gjithsej,Fillor dhe i mesëm i ulët,Gjithsej,-
2018/2019,Gjithsej,I mesëm i lartë,Meshkuj,-
2018/2019,Gjithsej,I mesëm i lartë,Femra,-
2018/2019,Gjithsej,I mesëm i lartë,Gjithsej,-
2019/2020,Deçan,Parashkollor,Meshkuj,-
2019/2020,Deçan,Parashkollor,Femra,-
2019/2020,Deçan,Parashkollor,Gjithsej,-
2019/2020,Deçan,Fillor dhe i mesëm i ulët,Meshkuj,17
2019/2020,Deçan,Fillor dhe i mesëm i ulët,Femra,4
2019/2020,Deçan,Fillor dhe i mesëm i ulët,Gjithsej,21
2019/2020,Deçan,I mesëm i lartë,Meshkuj,8
2019/2020,Deçan,I mesëm i lartë,Femra,1
2019/2020,Deçan,I mesëm i lartë,Gjithsej,9
2019/2020,Dragash,Parashkollor,Meshkuj,-
2019/2020,Dragash,Parashkollor,Femra,-
2019/2020,Dragash,Parashkollor,Gjithsej,-
2019/2020,Dragash,Fillor dhe i mesëm i ulët,Meshkuj,17
2019/2020,Dragash,Fillor dhe i mesëm i ulët,Femra,-
2019/2020,Dragash,Fillor dhe i mesëm i ulët,Gjithsej,17
2019/2020,Dragash,I mesëm i lartë,Meshkuj,3
2019/2020,Dragash,I mesëm i lartë,Femra,-
2019/2020,Dragash,I mesëm i lartë,Gjithsej,3
2019/2020,Ferizaj,Parashkollor,Meshkuj,-
2019/2020,Ferizaj,Parashkollor,Femra,3
2019/2020,Ferizaj,Parashkollor,Gjithsej,3
2019/2020,Ferizaj,Fillor dhe i mesëm i ulët,Meshkuj,44
2019/2020,Ferizaj,Fillor dhe i mesëm i ulët,Femra,27
2019/2020,Ferizaj,Fillor dhe i mesëm i ulët,Gjithsej,71
2019/2020,Ferizaj,I mesëm i lartë,Meshkuj,13
2019/2020,Ferizaj,I mesëm i lartë,Femra,11
2019/2020,Ferizaj,I mesëm i lartë,Gjithsej,24
2019/2020,Fushë Kosovë,Parashkollor,Meshkuj,-
2019/2020,Fushë Kosovë,Parashkollor,Femra,3
2019/2020,Fushë Kosovë,Parashkollor,Gjithsej,3
2019/2020,Fushë Kosovë,Fillor dhe i mesëm i ulët,Meshkuj,13
2019/2020,Fushë Kosovë,Fillor dhe i mesëm i ulët,Femra,6
2019/2020,Fushë Kosovë,Fillor dhe i mesëm i ulët,Gjithsej,19
2019/2020,Fushë Kosovë,I mesëm i lartë,Meshkuj,4
2019/2020,Fushë Kosovë,I mesëm i lartë,Femra,-
2019/2020,Fushë Kosovë,I mesëm i lartë,Gjithsej,4
2019/2020,Gjakovë,Parashkollor,Meshkuj,-
2019/2020,Gjakovë,Parashkollor,Femra,4
2019/2020,Gjakovë,Parashkollor,Gjithsej,4
2019/2020,Gjakovë,Fillor dhe i mesëm i ulët,Meshkuj,50
2019/2020,Gjakovë,Fillor dhe i mesëm i ulët,Femra,16
2019/2020,Gjakovë,Fillor dhe i mesëm i ulët,Gjithsej,66
2019/2020,Gjakovë,I mesëm i lartë,Meshkuj,6
2019/2020,Gjakovë,I mesëm i lartë,Femra,6
2019/2020,Gjakovë,I mesëm i lartë,Gjithsej,12
2019/2020,Gjilan,Parashkollor,Meshkuj,-
2019/2020,Gjilan,Parashkollor,Femra,8
2019/2020,Gjilan,Parashkollor,Gjithsej,8
2019/2020,Gjilan,Fillor dhe i mesëm i ulët,Meshkuj,39
2019/2020,Gjilan,Fillor dhe i mesëm i ulët,Femra,13
2019/2020,Gjilan,Fillor dhe i mesëm i ulët,Gjithsej,52
2019/2020,Gjilan,I mesëm i lartë,Meshkuj,19
2019/2020,Gjilan,I mesëm i lartë,Femra,1
2019/2020,Gjilan,I mesëm i lartë,Gjithsej,20
2019/2020,Gllogovc,Parashkollor,Meshkuj,-
2019/2020,Gllogovc,Parashkollor,Femra,1
2019/2020,Gllogovc,Parashkollor,Gjithsej,1
2019/2020,Gllogovc,Fillor dhe i mesëm i ulët,Meshkuj,32
2019/2020,Gllogovc,Fillor dhe i mesëm i ulët,Femra,17
