viti,komuna,personeli ndihmës,gjinia,Personeli ndihmës sipas niveleve
2015/2016,Junik,Fillor dhe i mesëm i ulët,Gjithsej,6
2015/2016,Junik,I mesëm i lartë,Meshkuj,3
2015/2016,Junik,I mesëm i lartë,Femra,-
2015/2016,Junik,I mesëm i lartë,Gjithsej,3
2015/2016,Kaçanik,Parashkollor,Meshkuj,2
2015/2016,Kaçanik,Parashkollor,Femra,-
2015/2016,Kaçanik,Parashkollor,Gjithsej,2
2015/2016,Kaçanik,Fillor dhe i mesëm i ulët,Meshkuj,39
2015/2016,Kaçanik,Fillor dhe i mesëm i ulët,Femra,1
2015/2016,Kaçanik,Fillor dhe i mesëm i ulët,Gjithsej,40
2015/2016,Kaçanik,I mesëm i lartë,Meshkuj,5
2015/2016,Kaçanik,I mesëm i lartë,Femra,-
2015/2016,Kaçanik,I mesëm i lartë,Gjithsej,5
2015/2016,Kamenicë,Parashkollor,Meshkuj,2
2015/2016,Kamenicë,Parashkollor,Femra,2
2015/2016,Kamenicë,Parashkollor,Gjithsej,4
2015/2016,Kamenicë,Fillor dhe i mesëm i ulët,Meshkuj,78
2015/2016,Kamenicë,Fillor dhe i mesëm i ulët,Femra,4
2015/2016,Kamenicë,Fillor dhe i mesëm i ulët,Gjithsej,82
2015/2016,Kamenicë,I mesëm i lartë,Meshkuj,16
2015/2016,Kamenicë,I mesëm i lartë,Femra,1
2015/2016,Kamenicë,I mesëm i lartë,Gjithsej,17
2015/2016,Klinë,Parashkollor,Meshkuj,2
2015/2016,Klinë,Parashkollor,Femra,3
2015/2016,Klinë,Parashkollor,Gjithsej,5
2015/2016,Klinë,Fillor dhe i mesëm i ulët,Meshkuj,59
2015/2016,Klinë,Fillor dhe i mesëm i ulët,Femra,1
2015/2016,Klinë,Fillor dhe i mesëm i ulët,Gjithsej,60
2015/2016,Klinë,I mesëm i lartë,Meshkuj,15
2015/2016,Klinë,I mesëm i lartë,Femra,-
2015/2016,Klinë,I mesëm i lartë,Gjithsej,15
2015/2016,Leposaviq,Parashkollor,Meshkuj,-
2015/2016,Leposaviq,Parashkollor,Femra,-
2015/2016,Leposaviq,Parashkollor,Gjithsej,-
2015/2016,Leposaviq,Fillor dhe i mesëm i ulët,Meshkuj,-
2015/2016,Leposaviq,Fillor dhe i mesëm i ulët,Femra,-
2015/2016,Leposaviq,Fillor dhe i mesëm i ulët,Gjithsej,-
2015/2016,Leposaviq,I mesëm i lartë,Meshkuj,-
2015/2016,Leposaviq,I mesëm i lartë,Femra,-
2015/2016,Leposaviq,I mesëm i lartë,Gjithsej,-
2015/2016,Lipjan,Parashkollor,Meshkuj,3
2015/2016,Lipjan,Parashkollor,Femra,4
2015/2016,Lipjan,Parashkollor,Gjithsej,7
2015/2016,Lipjan,Fillor dhe i mesëm i ulët,Meshkuj,97
2015/2016,Lipjan,Fillor dhe i mesëm i ulët,Femra,16
2015/2016,Lipjan,Fillor dhe i mesëm i ulët,Gjithsej,113
2015/2016,Lipjan,I mesëm i lartë,Meshkuj,11
2015/2016,Lipjan,I mesëm i lartë,Femra,2
2015/2016,Lipjan,I mesëm i lartë,Gjithsej,13
2015/2016,Malishevë,Parashkollor,Meshkuj,-
2015/2016,Malishevë,Parashkollor,Femra,-
2015/2016,Malishevë,Parashkollor,Gjithsej,-
2015/2016,Malishevë,Fillor dhe i mesëm i ulët,Meshkuj,115
2015/2016,Malishevë,Fillor dhe i mesëm i ulët,Femra,1
2015/2016,Malishevë,Fillor dhe i mesëm i ulët,Gjithsej,116
2015/2016,Malishevë,I mesëm i lartë,Meshkuj,22
2015/2016,Malishevë,I mesëm i lartë,Femra,-
2015/2016,Malishevë,I mesëm i lartë,Gjithsej,22
2015/2016,Mamushë,Parashkollor,Meshkuj,-
2015/2016,Mamushë,Parashkollor,Femra,-
2015/2016,Mamushë,Parashkollor,Gjithsej,-
2015/2016,Mamushë,Fillor dhe i mesëm i ulët,Meshkuj,3
2015/2016,Mamushë,Fillor dhe i mesëm i ulët,Femra,-
2015/2016,Mamushë,Fillor dhe i mesëm i ulët,Gjithsej,3
2015/2016,Mamushë,I mesëm i lartë,Meshkuj,1
2015/2016,Mamushë,I mesëm i lartë,Femra,-
2015/2016,Mamushë,I mesëm i lartë,Gjithsej,1
2015/2016,Mitrovicë,Parashkollor,Meshkuj,5
2015/2016,Mitrovicë,Parashkollor,Femra,4
2015/2016,Mitrovicë,Parashkollor,Gjithsej,9
2015/2016,Mitrovicë,Fillor dhe i mesëm i ulët,Meshkuj,99
2015/2016,Mitrovicë,Fillor dhe i mesëm i ulët,Femra,2
2015/2016,Mitrovicë,Fillor dhe i mesëm i ulët,Gjithsej,101
2015/2016,Mitrovicë,I mesëm i lartë,Meshkuj,21
2015/2016,Mitrovicë,I mesëm i lartë,Femra,1
2015/2016,Mitrovicë,I mesëm i lartë,Gjithsej,22
2015/2016,Novobërdë,Parashkollor,Meshkuj,-
2015/2016,Novobërdë,Parashkollor,Femra,-
2015/2016,Novobërdë,Parashkollor,Gjithsej,-
2015/2016,Novobërdë,Fillor dhe i mesëm i ulët,Meshkuj,8
2015/2016,Novobërdë,Fillor dhe i mesëm i ulët,Femra,3
2015/2016,Novobërdë,Fillor dhe i mesëm i ulët,Gjithsej,11
2015/2016,Novobërdë,I mesëm i lartë,Meshkuj,2
2015/2016,Novobërdë,I mesëm i lartë,Femra,-
2015/2016,Novobërdë,I mesëm i lartë,Gjithsej,2
2015/2016,Obiliq,Parashkollor,Meshkuj,1
2015/2016,Obiliq,Parashkollor,Femra,3
2015/2016,Obiliq,Parashkollor,Gjithsej,4
2015/2016,Obiliq,Fillor dhe i mesëm i ulët,Meshkuj,19
2015/2016,Obiliq,Fillor dhe i mesëm i ulët,Femra,1
2015/2016,Obiliq,Fillor dhe i mesëm i ulët,Gjithsej,20
2015/2016,Obiliq,I mesëm i lartë,Meshkuj,6
2015/2016,Obiliq,I mesëm i lartë,Femra,2
2015/2016,Obiliq,I mesëm i lartë,Gjithsej,8
2015/2016,Pejë,Parashkollor,Meshkuj,3
2015/2016,Pejë,Parashkollor,Femra,5
2015/2016,Pejë,Parashkollor,Gjithsej,8
2015/2016,Pejë,Fillor dhe i mesëm i ulët,Meshkuj,46
2015/2016,Pejë,Fillor dhe i mesëm i ulët,Femra,6
2015/2016,Pejë,Fillor dhe i mesëm i ulët,Gjithsej,52
2015/2016,Pejë,I mesëm i lartë,Meshkuj,21
2015/2016,Pejë,I mesëm i lartë,Femra,4
2015/2016,Pejë,I mesëm i lartë,Gjithsej,25
2015/2016,Podujevë,Parashkollor,Meshkuj,2
2015/2016,Podujevë,Parashkollor,Femra,1
2015/2016,Podujevë,Parashkollor,Gjithsej,3
2015/2016,Podujevë,Fillor dhe i mesëm i ulët,Meshkuj,136
2015/2016,Podujevë,Fillor dhe i mesëm i ulët,Femra,7
2015/2016,Podujevë,Fillor dhe i mesëm i ulët,Gjithsej,143
2015/2016,Podujevë,I mesëm i lartë,Meshkuj,28
2015/2016,Podujevë,I mesëm i lartë,Femra,1
2015/2016,Podujevë,I mesëm i lartë,Gjithsej,29
2015/2016,Prishtinë,Parashkollor,Meshkuj,16
2015/2016,Prishtinë,Parashkollor,Femra,22
2015/2016,Prishtinë,Parashkollor,Gjithsej,38
2015/2016,Prishtinë,Fillor dhe i mesëm i ulët,Meshkuj,161
2015/2016,Prishtinë,Fillor dhe i mesëm i ulët,Femra,75
2015/2016,Prishtinë,Fillor dhe i mesëm i ulët,Gjithsej,236
2015/2016,Prishtinë,I mesëm i lartë,Meshkuj,76
2015/2016,Prishtinë,I mesëm i lartë,Femra,24
2015/2016,Prishtinë,I mesëm i lartë,Gjithsej,100
2015/2016,Prizren,Parashkollor,Meshkuj,-
2015/2016,Prizren,Parashkollor,Femra,-
2015/2016,Prizren,Parashkollor,Gjithsej,-
2015/2016,Prizren,Fillor dhe i mesëm i ulët,Meshkuj,148
2015/2016,Prizren,Fillor dhe i mesëm i ulët,Femra,27
2015/2016,Prizren,Fillor dhe i mesëm i ulët,Gjithsej,175
2015/2016,Prizren,I mesëm i lartë,Meshkuj,37
2015/2016,Prizren,I mesëm i lartë,Femra,5
2015/2016,Prizren,I mesëm i lartë,Gjithsej,42
2015/2016,Rahovec,Parashkollor,Meshkuj,2
2015/2016,Rahovec,Parashkollor,Femra,2
2015/2016,Rahovec,Parashkollor,Gjithsej,4
2015/2016,Rahovec,Fillor dhe i mesëm i ulët,Meshkuj,72
2015/2016,Rahovec,Fillor dhe i mesëm i ulët,Femra,1
2015/2016,Rahovec,Fillor dhe i mesëm i ulët,Gjithsej,73
2015/2016,Rahovec,I mesëm i lartë,Meshkuj,8
2015/2016,Rahovec,I mesëm i lartë,Femra,-
2015/2016,Rahovec,I mesëm i lartë,Gjithsej,8
2015/2016,Shtërpcë,Parashkollor,Meshkuj,-
2015/2016,Shtërpcë,Parashkollor,Femra,-
2015/2016,Shtërpcë,Parashkollor,Gjithsej,-
2015/2016,Shtërpcë,Fillor dhe i mesëm i ulët,Meshkuj,11
2015/2016,Shtërpcë,Fillor dhe i mesëm i ulët,Femra,-
2015/2016,Shtërpcë,Fillor dhe i mesëm i ulët,Gjithsej,11
2015/2016,Shtërpcë,I mesëm i lartë,Meshkuj,3
2015/2016,Shtërpcë,I mesëm i lartë,Femra,-
2015/2016,Shtërpcë,I mesëm i lartë,Gjithsej,3
2015/2016,Shtime,Parashkollor,Meshkuj,-
2015/2016,Shtime,Parashkollor,Femra,1
2015/2016,Shtime,Parashkollor,Gjithsej,1
2015/2016,Shtime,Fillor dhe i mesëm i ulët,Meshkuj,34
