viti,komuna,variabla,gjinia,Mësimdhënësit sipas niveleve
2016/2017,Kaçanik,I Mesëm i lartë,Gjithsej,88
2016/2017,Kamenicë,Parashkollor,Meshkuj,-
2016/2017,Kamenicë,Parashkollor,Femra,6
2016/2017,Kamenicë,Parashkollor,Gjithsej,6
2016/2017,Kamenicë,Paraf.fillor dhe i mesëm i ulët,Meshkuj,240
2016/2017,Kamenicë,Paraf.fillor dhe i mesëm i ulët,Femra,149
2016/2017,Kamenicë,Paraf.fillor dhe i mesëm i ulët,Gjithsej,389
2016/2017,Kamenicë,I Mesëm i lartë,Meshkuj,106
2016/2017,Kamenicë,I Mesëm i lartë,Femra,19
2016/2017,Kamenicë,I Mesëm i lartë,Gjithsej,125
2016/2017,Klinë,Parashkollor,Meshkuj,-
2016/2017,Klinë,Parashkollor,Femra,4
2016/2017,Klinë,Parashkollor,Gjithsej,4
2016/2017,Klinë,Paraf.fillor dhe i mesëm i ulët,Meshkuj,240
2016/2017,Klinë,Paraf.fillor dhe i mesëm i ulët,Femra,195
2016/2017,Klinë,Paraf.fillor dhe i mesëm i ulët,Gjithsej,435
2016/2017,Klinë,I Mesëm i lartë,Meshkuj,88
2016/2017,Klinë,I Mesëm i lartë,Femra,20
2016/2017,Klinë,I Mesëm i lartë,Gjithsej,108
2016/2017,Leposaviq,Parashkollor,Meshkuj,-
2016/2017,Leposaviq,Parashkollor,Femra,-
2016/2017,Leposaviq,Parashkollor,Gjithsej,-
2016/2017,Leposaviq,Paraf.fillor dhe i mesëm i ulët,Meshkuj,11
2016/2017,Leposaviq,Paraf.fillor dhe i mesëm i ulët,Femra,7
2016/2017,Leposaviq,Paraf.fillor dhe i mesëm i ulët,Gjithsej,18
2016/2017,Leposaviq,I Mesëm i lartë,Meshkuj,-
2016/2017,Leposaviq,I Mesëm i lartë,Femra,-
2016/2017,Leposaviq,I Mesëm i lartë,Gjithsej,-
2016/2017,Lipjan,Parashkollor,Meshkuj,-
2016/2017,Lipjan,Parashkollor,Femra,8
2016/2017,Lipjan,Parashkollor,Gjithsej,8
2016/2017,Lipjan,Paraf.fillor dhe i mesëm i ulët,Meshkuj,330
2016/2017,Lipjan,Paraf.fillor dhe i mesëm i ulët,Femra,336
2016/2017,Lipjan,Paraf.fillor dhe i mesëm i ulët,Gjithsej,666
2016/2017,Lipjan,I Mesëm i lartë,Meshkuj,55
2016/2017,Lipjan,I Mesëm i lartë,Femra,33
2016/2017,Lipjan,I Mesëm i lartë,Gjithsej,88
2016/2017,Malishevë,Parashkollor,Meshkuj,-
2016/2017,Malishevë,Parashkollor,Femra,-
2016/2017,Malishevë,Parashkollor,Gjithsej,-
2016/2017,Malishevë,Paraf.fillor dhe i mesëm i ulët,Meshkuj,595
2016/2017,Malishevë,Paraf.fillor dhe i mesëm i ulët,Femra,310
2016/2017,Malishevë,Paraf.fillor dhe i mesëm i ulët,Gjithsej,905
2016/2017,Malishevë,I Mesëm i lartë,Meshkuj,139
2016/2017,Malishevë,I Mesëm i lartë,Femra,38
2016/2017,Malishevë,I Mesëm i lartë,Gjithsej,177
2016/2017,Mamushë,Parashkollor,Meshkuj,1
2016/2017,Mamushë,Parashkollor,Femra,2
2016/2017,Mamushë,Parashkollor,Gjithsej,3
2016/2017,Mamushë,Paraf.fillor dhe i mesëm i ulët,Meshkuj,20
2016/2017,Mamushë,Paraf.fillor dhe i mesëm i ulët,Femra,26
2016/2017,Mamushë,Paraf.fillor dhe i mesëm i ulët,Gjithsej,46
2016/2017,Mamushë,I Mesëm i lartë,Meshkuj,3
2016/2017,Mamushë,I Mesëm i lartë,Femra,1
2016/2017,Mamushë,I Mesëm i lartë,Gjithsej,4
2016/2017,Mitrovicë,Parashkollor,Meshkuj,-
2016/2017,Mitrovicë,Parashkollor,Femra,33
2016/2017,Mitrovicë,Parashkollor,Gjithsej,33
2016/2017,Mitrovicë,Paraf.fillor dhe i mesëm i ulët,Meshkuj,250
2016/2017,Mitrovicë,Paraf.fillor dhe i mesëm i ulët,Femra,500
2016/2017,Mitrovicë,Paraf.fillor dhe i mesëm i ulët,Gjithsej,750
2016/2017,Mitrovicë,I Mesëm i lartë,Meshkuj,136
2016/2017,Mitrovicë,I Mesëm i lartë,Femra,145
2016/2017,Mitrovicë,I Mesëm i lartë,Gjithsej,281
2016/2017,Novobërdë,Parashkollor,Meshkuj,-
2016/2017,Novobërdë,Parashkollor,Femra,-
2016/2017,Novobërdë,Parashkollor,Gjithsej,-
2016/2017,Novobërdë,Paraf.fillor dhe i mesëm i ulët,Meshkuj,21
2016/2017,Novobërdë,Paraf.fillor dhe i mesëm i ulët,Femra,36
2016/2017,Novobërdë,Paraf.fillor dhe i mesëm i ulët,Gjithsej,57
2016/2017,Novobërdë,I Mesëm i lartë,Meshkuj,3
2016/2017,Novobërdë,I Mesëm i lartë,Femra,4
2016/2017,Novobërdë,I Mesëm i lartë,Gjithsej,7
2016/2017,Obiliq,Parashkollor,Meshkuj,-
2016/2017,Obiliq,Parashkollor,Femra,9
2016/2017,Obiliq,Parashkollor,Gjithsej,9
2016/2017,Obiliq,Paraf.fillor dhe i mesëm i ulët,Meshkuj,83
2016/2017,Obiliq,Paraf.fillor dhe i mesëm i ulët,Femra,165
2016/2017,Obiliq,Paraf.fillor dhe i mesëm i ulët,Gjithsej,248
2016/2017,Obiliq,I Mesëm i lartë,Meshkuj,34
2016/2017,Obiliq,I Mesëm i lartë,Femra,21
2016/2017,Obiliq,I Mesëm i lartë,Gjithsej,55
2016/2017,Pejë,Parashkollor,Meshkuj,-
2016/2017,Pejë,Parashkollor,Femra,40
2016/2017,Pejë,Parashkollor,Gjithsej,40
2016/2017,Pejë,Paraf.fillor dhe i mesëm i ulët,Meshkuj,300
2016/2017,Pejë,Paraf.fillor dhe i mesëm i ulët,Femra,570
2016/2017,Pejë,Paraf.fillor dhe i mesëm i ulët,Gjithsej,870
2016/2017,Pejë,I Mesëm i lartë,Meshkuj,227
2016/2017,Pejë,I Mesëm i lartë,Femra,172
2016/2017,Pejë,I Mesëm i lartë,Gjithsej,399
2016/2017,Podujevë,Parashkollor,Meshkuj,-
2016/2017,Podujevë,Parashkollor,Femra,8
2016/2017,Podujevë,Parashkollor,Gjithsej,8
2016/2017,Podujevë,Paraf.fillor dhe i mesëm i ulët,Meshkuj,490
2016/2017,Podujevë,Paraf.fillor dhe i mesëm i ulët,Femra,463
2016/2017,Podujevë,Paraf.fillor dhe i mesëm i ulët,Gjithsej,953
2016/2017,Podujevë,I Mesëm i lartë,Meshkuj,137
2016/2017,Podujevë,I Mesëm i lartë,Femra,68
2016/2017,Podujevë,I Mesëm i lartë,Gjithsej,205
2016/2017,Prishtinë,Parashkollor,Meshkuj,1
2016/2017,Prishtinë,Parashkollor,Femra,203
2016/2017,Prishtinë,Parashkollor,Gjithsej,204
2016/2017,Prishtinë,Paraf.fillor dhe i mesëm i ulët,Meshkuj,385
2016/2017,Prishtinë,Paraf.fillor dhe i mesëm i ulët,Femra,1253
2016/2017,Prishtinë,Paraf.fillor dhe i mesëm i ulët,Gjithsej,1638
2016/2017,Prishtinë,I Mesëm i lartë,Meshkuj,280
2016/2017,Prishtinë,I Mesëm i lartë,Femra,417
2016/2017,Prishtinë,I Mesëm i lartë,Gjithsej,697
2016/2017,Prizren,Parashkollor,Meshkuj,-
2016/2017,Prizren,Parashkollor,Femra,-
2016/2017,Prizren,Parashkollor,Gjithsej,-
2016/2017,Prizren,Paraf.fillor dhe i mesëm i ulët,Meshkuj,730
2016/2017,Prizren,Paraf.fillor dhe i mesëm i ulët,Femra,865
2016/2017,Prizren,Paraf.fillor dhe i mesëm i ulët,Gjithsej,1595
2016/2017,Prizren,I Mesëm i lartë,Meshkuj,298
2016/2017,Prizren,I Mesëm i lartë,Femra,185
2016/2017,Prizren,I Mesëm i lartë,Gjithsej,483
2016/2017,Rahovec,Parashkollor,Meshkuj,-
2016/2017,Rahovec,Parashkollor,Femra,3
2016/2017,Rahovec,Parashkollor,Gjithsej,3
2016/2017,Rahovec,Paraf.fillor dhe i mesëm i ulët,Meshkuj,372
2016/2017,Rahovec,Paraf.fillor dhe i mesëm i ulët,Femra,239
2016/2017,Rahovec,Paraf.fillor dhe i mesëm i ulët,Gjithsej,611
2016/2017,Rahovec,I Mesëm i lartë,Meshkuj,80
2016/2017,Rahovec,I Mesëm i lartë,Femra,35
2016/2017,Rahovec,I Mesëm i lartë,Gjithsej,115
2016/2017,Shtërpcë,Parashkollor,Meshkuj,-
2016/2017,Shtërpcë,Parashkollor,Femra,-
2016/2017,Shtërpcë,Parashkollor,Gjithsej,-
2016/2017,Shtërpcë,Paraf.fillor dhe i mesëm i ulët,Meshkuj,46
2016/2017,Shtërpcë,Paraf.fillor dhe i mesëm i ulët,Femra,32
2016/2017,Shtërpcë,Paraf.fillor dhe i mesëm i ulët,Gjithsej,78
2016/2017,Shtërpcë,I Mesëm i lartë,Meshkuj,9
2016/2017,Shtërpcë,I Mesëm i lartë,Femra,3
2016/2017,Shtërpcë,I Mesëm i lartë,Gjithsej,12
2016/2017,Shtime,Parashkollor,Meshkuj,-
2016/2017,Shtime,Parashkollor,Femra,5
2016/2017,Shtime,Parashkollor,Gjithsej,5
2016/2017,Shtime,Paraf.fillor dhe i mesëm i ulët,Meshkuj,170
2016/2017,Shtime,Paraf.fillor dhe i mesëm i ulët,Femra,143
2016/2017,Shtime,Paraf.fillor dhe i mesëm i ulët,Gjithsej,313
2016/2017,Shtime,I Mesëm i lartë,Meshkuj,60
2016/2017,Shtime,I Mesëm i lartë,Femra,33
2016/2017,Shtime,I Mesëm i lartë,Gjithsej,93
2016/2017,Skënderaj,Parashkollor,Meshkuj,-
2016/2017,Skënderaj,Parashkollor,Femra,10
2016/2017,Skënderaj,Parashkollor,Gjithsej,10
2016/2017,Skënderaj,Paraf.fillor dhe i mesëm i ulët,Meshkuj,320
2016/2017,Skënderaj,Paraf.fillor dhe i mesëm i ulët,Femra,190
2016/2017,Skënderaj,Paraf.fillor dhe i mesëm i ulët,Gjithsej,510
2016/2017,Skënderaj,I Mesëm i lartë,Meshkuj,104
2016/2017,Skënderaj,I Mesëm i lartë,Femra,51
2016/2017,Skënderaj,I Mesëm i lartë,Gjithsej,155
2016/2017,Suharekë,Parashkollor,Meshkuj,-
2016/2017,Suharekë,Parashkollor,Femra,5
2016/2017,Suharekë,Parashkollor,Gjithsej,5
2016/2017,Suharekë,Paraf.fillor dhe i mesëm i ulët,Meshkuj,332
2016/2017,Suharekë,Paraf.fillor dhe i mesëm i ulët,Femra,312
2016/2017,Suharekë,Paraf.fillor dhe i mesëm i ulët,Gjithsej,644
2016/2017,Suharekë,I Mesëm i lartë,Meshkuj,112
2016/2017,Suharekë,I Mesëm i lartë,Femra,78
2016/2017,Suharekë,I Mesëm i lartë,Gjithsej,190
2016/2017,Viti,Parashkollor,Meshkuj,-
2016/2017,Viti,Parashkollor,Femra,8
2016/2017,Viti,Parashkollor,Gjithsej,8
2016/2017,Viti,Paraf.fillor dhe i mesëm i ulët,Meshkuj,279
2016/2017,Viti,Paraf.fillor dhe i mesëm i ulët,Femra,251
2016/2017,Viti,Paraf.fillor dhe i mesëm i ulët,Gjithsej,530
2016/2017,Viti,I Mesëm i lartë,Meshkuj,107
2016/2017,Viti,I Mesëm i lartë,Femra,45
2016/2017,Viti,I Mesëm i lartë,Gjithsej,152
2016/2017,Vushtrri,Parashkollor,Meshkuj,-
2016/2017,Vushtrri,Parashkollor,Femra,16
2016/2017,Vushtrri,Parashkollor,Gjithsej,16
2016/2017,Vushtrri,Paraf.fillor dhe i mesëm i ulët,Meshkuj,260
2016/2017,Vushtrri,Paraf.fillor dhe i mesëm i ulët,Femra,285
2016/2017,Vushtrri,Paraf.fillor dhe i mesëm i ulët,Gjithsej,545
2016/2017,Vushtrri,I Mesëm i lartë,Meshkuj,138
2016/2017,Vushtrri,I Mesëm i lartë,Femra,52
2016/2017,Vushtrri,I Mesëm i lartë,Gjithsej,190
2016/2017,Zubin Potok,Parashkollor,Meshkuj,-
2016/2017,Zubin Potok,Parashkollor,Femra,-
2016/2017,Zubin Potok,Parashkollor,Gjithsej,-
2016/2017,Zubin Potok,Paraf.fillor dhe i mesëm i ulët,Meshkuj,6
2016/2017,Zubin Potok,Paraf.fillor dhe i mesëm i ulët,Femra,6
2016/2017,Zubin Potok,Paraf.fillor dhe i mesëm i ulët,Gjithsej,12
2016/2017,Zubin Potok,I Mesëm i lartë,Meshkuj,-
2016/2017,Zubin Potok,I Mesëm i lartë,Femra,-
2016/2017,Zubin Potok,I Mesëm i lartë,Gjithsej,-
2016/2017,Zveçan,Parashkollor,Meshkuj,-
2016/2017,Zveçan,Parashkollor,Femra,-
2016/2017,Zveçan,Parashkollor,Gjithsej,-
2016/2017,Zveçan,Paraf.fillor dhe i mesëm i ulët,Meshkuj,6
2016/2017,Zveçan,Paraf.fillor dhe i mesëm i ulët,Femra,11
2016/2017,Zveçan,Paraf.fillor dhe i mesëm i ulët,Gjithsej,17
2016/2017,Zveçan,I Mesëm i lartë,Meshkuj,-
2016/2017,Zveçan,I Mesëm i lartë,Femra,-
2016/2017,Zveçan,I Mesëm i lartë,Gjithsej,-
2016/2017,Kllokot,Parashkollor,Meshkuj,-
2016/2017,Kllokot,Parashkollor,Femra,-
2016/2017,Kllokot,Parashkollor,Gjithsej,-
2016/2017,Kllokot,Paraf.fillor dhe i mesëm i ulët,Meshkuj,4
2016/2017,Kllokot,Paraf.fillor dhe i mesëm i ulët,Femra,9
2016/2017,Kllokot,Paraf.fillor dhe i mesëm i ulët,Gjithsej,13
2016/2017,Kllokot,I Mesëm i lartë,Meshkuj,-
2016/2017,Kllokot,I Mesëm i lartë,Femra,-
2016/2017,Kllokot,I Mesëm i lartë,Gjithsej,-
2016/2017,Gjithsej,Parashkollor,Meshkuj,2
2016/2017,Gjithsej,Parashkollor,Femra,533
2016/2017,Gjithsej,Parashkollor,Gjithsej,535
2016/2017,Gjithsej,Paraf.fillor dhe i mesëm i ulët,Meshkuj,8043
2016/2017,Gjithsej,Paraf.fillor dhe i mesëm i ulët,Femra,9367
2016/2017,Gjithsej,Paraf.fillor dhe i mesëm i ulët,Gjithsej,17410
2016/2017,Gjithsej,I Mesëm i lartë,Meshkuj,3146
2016/2017,Gjithsej,I Mesëm i lartë,Femra,2111
2016/2017,Gjithsej,I Mesëm i lartë,Gjithsej,5257
2017/2018,Deçan,Parashkollor,Meshkuj,-
2017/2018,Deçan,Parashkollor,Femra,-
2017/2018,Deçan,Parashkollor,Gjithsej,-
2017/2018,Deçan,Paraf.fillor dhe i mesëm i ulët,Meshkuj,155
2017/2018,Deçan,Paraf.fillor dhe i mesëm i ulët,Femra,197
2017/2018,Deçan,Paraf.fillor dhe i mesëm i ulët,Gjithsej,352
2017/2018,Deçan,I Mesëm i lartë,Meshkuj,51
2017/2018,Deçan,I Mesëm i lartë,Femra,29
2017/2018,Deçan,I Mesëm i lartë,Gjithsej,80
2017/2018,Dragash,Parashkollor,Meshkuj,-
2017/2018,Dragash,Parashkollor,Femra,-
2017/2018,Dragash,Parashkollor,Gjithsej,-
2017/2018,Dragash,Paraf.fillor dhe i mesëm i ulët,Meshkuj,276
2017/2018,Dragash,Paraf.fillor dhe i mesëm i ulët,Femra,43
2017/2018,Dragash,Paraf.fillor dhe i mesëm i ulët,Gjithsej,319
2017/2018,Dragash,I Mesëm i lartë,Meshkuj,51
2017/2018,Dragash,I Mesëm i lartë,Femra,7
2017/2018,Dragash,I Mesëm i lartë,Gjithsej,58
2017/2018,Ferizaj,Parashkollor,Meshkuj,-
2017/2018,Ferizaj,Parashkollor,Femra,29
2017/2018,Ferizaj,Parashkollor,Gjithsej,29
2017/2018,Ferizaj,Paraf.fillor dhe i mesëm i ulët,Meshkuj,424
2017/2018,Ferizaj,Paraf.fillor dhe i mesëm i ulët,Femra,703
2017/2018,Ferizaj,Paraf.fillor dhe i mesëm i ulët,Gjithsej,1127
2017/2018,Ferizaj,I Mesëm i lartë,Meshkuj,223
2017/2018,Ferizaj,I Mesëm i lartë,Femra,180
2017/2018,Ferizaj,I Mesëm i lartë,Gjithsej,403
2017/2018,Fushë Kosovë,Parashkollor,Meshkuj,-
2017/2018,Fushë Kosovë,Parashkollor,Femra,21
2017/2018,Fushë Kosovë,Parashkollor,Gjithsej,21
2017/2018,Fushë Kosovë,Paraf.fillor dhe i mesëm i ulët,Meshkuj,75
2017/2018,Fushë Kosovë,Paraf.fillor dhe i mesëm i ulët,Femra,207
2017/2018,Fushë Kosovë,Paraf.fillor dhe i mesëm i ulët,Gjithsej,282
2017/2018,Fushë Kosovë,I Mesëm i lartë,Meshkuj,29
2017/2018,Fushë Kosovë,I Mesëm i lartë,Femra,35
2017/2018,Fushë Kosovë,I Mesëm i lartë,Gjithsej,64
2017/2018,Gjakovë,Parashkollor,Meshkuj,-
2017/2018,Gjakovë,Parashkollor,Femra,49
2017/2018,Gjakovë,Parashkollor,Gjithsej,49
2017/2018,Gjakovë,Paraf.fillor dhe i mesëm i ulët,Meshkuj,334
2017/2018,Gjakovë,Paraf.fillor dhe i mesëm i ulët,Femra,560
2017/2018,Gjakovë,Paraf.fillor dhe i mesëm i ulët,Gjithsej,894
2017/2018,Gjakovë,I Mesëm i lartë,Meshkuj,115
2017/2018,Gjakovë,I Mesëm i lartë,Femra,157
2017/2018,Gjakovë,I Mesëm i lartë,Gjithsej,272
2017/2018,Gjilan,Parashkollor,Meshkuj,-
2017/2018,Gjilan,Parashkollor,Femra,34
2017/2018,Gjilan,Parashkollor,Gjithsej,34
2017/2018,Gjilan,Paraf.fillor dhe i mesëm i ulët,Meshkuj,373
2017/2018,Gjilan,Paraf.fillor dhe i mesëm i ulët,Femra,606
2017/2018,Gjilan,Paraf.fillor dhe i mesëm i ulët,Gjithsej,979
2017/2018,Gjilan,I Mesëm i lartë,Meshkuj,263
2017/2018,Gjilan,I Mesëm i lartë,Femra,141
2017/2018,Gjilan,I Mesëm i lartë,Gjithsej,404
2017/2018,Gllogovc,Parashkollor,Meshkuj,-
2017/2018,Gllogovc,Parashkollor,Femra,15
2017/2018,Gllogovc,Parashkollor,Gjithsej,15
2017/2018,Gllogovc,Paraf.fillor dhe i mesëm i ulët,Meshkuj,328
2017/2018,Gllogovc,Paraf.fillor dhe i mesëm i ulët,Femra,329
2017/2018,Gllogovc,Paraf.fillor dhe i mesëm i ulët,Gjithsej,657
2017/2018,Gllogovc,I Mesëm i lartë,Meshkuj,123
2017/2018,Gllogovc,I Mesëm i lartë,Femra,51
2017/2018,Gllogovc,I Mesëm i lartë,Gjithsej,174
2017/2018,Hani i Elezit,Parashkollor,Meshkuj,-
2017/2018,Hani i Elezit,Parashkollor,Femra,-
2017/2018,Hani i Elezit,Parashkollor,Gjithsej,-
2017/2018,Hani i Elezit,Paraf.fillor dhe i mesëm i ulët,Meshkuj,40
2017/2018,Hani i Elezit,Paraf.fillor dhe i mesëm i ulët,Femra,43
2017/2018,Hani i Elezit,Paraf.fillor dhe i mesëm i ulët,Gjithsej,83
2017/2018,Hani i Elezit,I Mesëm i lartë,Meshkuj,13
2017/2018,Hani i Elezit,I Mesëm i lartë,Femra,7
2017/2018,Hani i Elezit,I Mesëm i lartë,Gjithsej,20
2017/2018,Istog,Parashkollor,Meshkuj,-
2017/2018,Istog,Parashkollor,Femra,19
2017/2018,Istog,Parashkollor,Gjithsej,19
2017/2018,Istog,Paraf.fillor dhe i mesëm i ulët,Meshkuj,145
2017/2018,Istog,Paraf.fillor dhe i mesëm i ulët,Femra,230
2017/2018,Istog,Paraf.fillor dhe i mesëm i ulët,Gjithsej,375
2017/2018,Istog,I Mesëm i lartë,Meshkuj,78
2017/2018,Istog,I Mesëm i lartë,Femra,40
2017/2018,Istog,I Mesëm i lartë,Gjithsej,118
2017/2018,Junik,Parashkollor,Meshkuj,-
2017/2018,Junik,Parashkollor,Femra,-
2017/2018,Junik,Parashkollor,Gjithsej,-
2017/2018,Junik,Paraf.fillor dhe i mesëm i ulët,Meshkuj,15
2017/2018,Junik,Paraf.fillor dhe i mesëm i ulët,Femra,29
2017/2018,Junik,Paraf.fillor dhe i mesëm i ulët,Gjithsej,44
2017/2018,Junik,I Mesëm i lartë,Meshkuj,12
2017/2018,Junik,I Mesëm i lartë,Femra,5
2017/2018,Junik,I Mesëm i lartë,Gjithsej,17
2017/2018,Kaçanik,Parashkollor,Meshkuj,-
2017/2018,Kaçanik,Parashkollor,Femra,3
2017/2018,Kaçanik,Parashkollor,Gjithsej,3
2017/2018,Kaçanik,Paraf.fillor dhe i mesëm i ulët,Meshkuj,208
2017/2018,Kaçanik,Paraf.fillor dhe i mesëm i ulët,Femra,163
2017/2018,Kaçanik,Paraf.fillor dhe i mesëm i ulët,Gjithsej,371
2017/2018,Kaçanik,I Mesëm i lartë,Meshkuj,63
2017/2018,Kaçanik,I Mesëm i lartë,Femra,29
2017/2018,Kaçanik,I Mesëm i lartë,Gjithsej,92
2017/2018,Kamenicë,Parashkollor,Meshkuj,-
2017/2018,Kamenicë,Parashkollor,Femra,6
2017/2018,Kamenicë,Parashkollor,Gjithsej,6
2017/2018,Kamenicë,Paraf.fillor dhe i mesëm i ulët,Meshkuj,256
2017/2018,Kamenicë,Paraf.fillor dhe i mesëm i ulët,Femra,164
2017/2018,Kamenicë,Paraf.fillor dhe i mesëm i ulët,Gjithsej,420
2017/2018,Kamenicë,I Mesëm i lartë,Meshkuj,69
2017/2018,Kamenicë,I Mesëm i lartë,Femra,11
2017/2018,Kamenicë,I Mesëm i lartë,Gjithsej,80
2017/2018,Klinë,Parashkollor,Meshkuj,-
2017/2018,Klinë,Parashkollor,Femra,5
2017/2018,Klinë,Parashkollor,Gjithsej,5
2017/2018,Klinë,Paraf.fillor dhe i mesëm i ulët,Meshkuj,237
2017/2018,Klinë,Paraf.fillor dhe i mesëm i ulët,Femra,194
2017/2018,Klinë,Paraf.fillor dhe i mesëm i ulët,Gjithsej,431
2017/2018,Klinë,I Mesëm i lartë,Meshkuj,91
2017/2018,Klinë,I Mesëm i lartë,Femra,21
2017/2018,Klinë,I Mesëm i lartë,Gjithsej,112
2017/2018,Leposaviq,Parashkollor,Meshkuj,-
2017/2018,Leposaviq,Parashkollor,Femra,-
2017/2018,Leposaviq,Parashkollor,Gjithsej,-
2017/2018,Leposaviq,Paraf.fillor dhe i mesëm i ulët,Meshkuj,9
2017/2018,Leposaviq,Paraf.fillor dhe i mesëm i ulët,Femra,7
2017/2018,Leposaviq,Paraf.fillor dhe i mesëm i ulët,Gjithsej,16
2017/2018,Leposaviq,I Mesëm i lartë,Meshkuj,-
2017/2018,Leposaviq,I Mesëm i lartë,Femra,-
2017/2018,Leposaviq,I Mesëm i lartë,Gjithsej,-
2017/2018,Lipjan,Parashkollor,Meshkuj,-
2017/2018,Lipjan,Parashkollor,Femra,11
2017/2018,Lipjan,Parashkollor,Gjithsej,11
2017/2018,Lipjan,Paraf.fillor dhe i mesëm i ulët,Meshkuj,334
2017/2018,Lipjan,Paraf.fillor dhe i mesëm i ulët,Femra,347
2017/2018,Lipjan,Paraf.fillor dhe i mesëm i ulët,Gjithsej,681
2017/2018,Lipjan,I Mesëm i lartë,Meshkuj,66
2017/2018,Lipjan,I Mesëm i lartë,Femra,53
2017/2018,Lipjan,I Mesëm i lartë,Gjithsej,119
2017/2018,Malishevë,Parashkollor,Meshkuj,-
2017/2018,Malishevë,Parashkollor,Femra,8
2017/2018,Malishevë,Parashkollor,Gjithsej,8
2017/2018,Malishevë,Paraf.fillor dhe i mesëm i ulët,Meshkuj,505
2017/2018,Malishevë,Paraf.fillor dhe i mesëm i ulët,Femra,290
2017/2018,Malishevë,Paraf.fillor dhe i mesëm i ulët,Gjithsej,795
2017/2018,Malishevë,I Mesëm i lartë,Meshkuj,140
2017/2018,Malishevë,I Mesëm i lartë,Femra,41
2017/2018,Malishevë,I Mesëm i lartë,Gjithsej,181
2017/2018,Mamushë,Parashkollor,Meshkuj,-
2017/2018,Mamushë,Parashkollor,Femra,2
2017/2018,Mamushë,Parashkollor,Gjithsej,2
2017/2018,Mamushë,Paraf.fillor dhe i mesëm i ulët,Meshkuj,19
2017/2018,Mamushë,Paraf.fillor dhe i mesëm i ulët,Femra,23
2017/2018,Mamushë,Paraf.fillor dhe i mesëm i ulët,Gjithsej,42
2017/2018,Mamushë,I Mesëm i lartë,Meshkuj,3
2017/2018,Mamushë,I Mesëm i lartë,Femra,1
2017/2018,Mamushë,I Mesëm i lartë,Gjithsej,4
2017/2018,Mitrovicë,Parashkollor,Meshkuj,-
2017/2018,Mitrovicë,Parashkollor,Femra,30
2017/2018,Mitrovicë,Parashkollor,Gjithsej,30
2017/2018,Mitrovicë,Paraf.fillor dhe i mesëm i ulët,Meshkuj,234
2017/2018,Mitrovicë,Paraf.fillor dhe i mesëm i ulët,Femra,565
2017/2018,Mitrovicë,Paraf.fillor dhe i mesëm i ulët,Gjithsej,799
2017/2018,Mitrovicë,I Mesëm i lartë,Meshkuj,142
2017/2018,Mitrovicë,I Mesëm i lartë,Femra,147
2017/2018,Mitrovicë,I Mesëm i lartë,Gjithsej,289
2017/2018,Novobërdë,Parashkollor,Meshkuj,-
2017/2018,Novobërdë,Parashkollor,Femra,-
2017/2018,Novobërdë,Parashkollor,Gjithsej,-
2017/2018,Novobërdë,Paraf.fillor dhe i mesëm i ulët,Meshkuj,19
2017/2018,Novobërdë,Paraf.fillor dhe i mesëm i ulët,Femra,34
2017/2018,Novobërdë,Paraf.fillor dhe i mesëm i ulët,Gjithsej,53
2017/2018,Novobërdë,I Mesëm i lartë,Meshkuj,3
2017/2018,Novobërdë,I Mesëm i lartë,Femra,4
2017/2018,Novobërdë,I Mesëm i lartë,Gjithsej,7
2017/2018,Obiliq,Parashkollor,Meshkuj,-
2017/2018,Obiliq,Parashkollor,Femra,9
2017/2018,Obiliq,Parashkollor,Gjithsej,9
2017/2018,Obiliq,Paraf.fillor dhe i mesëm i ulët,Meshkuj,77
2017/2018,Obiliq,Paraf.fillor dhe i mesëm i ulët,Femra,169
2017/2018,Obiliq,Paraf.fillor dhe i mesëm i ulët,Gjithsej,246
2017/2018,Obiliq,I Mesëm i lartë,Meshkuj,30
2017/2018,Obiliq,I Mesëm i lartë,Femra,23
2017/2018,Obiliq,I Mesëm i lartë,Gjithsej,53
2017/2018,Pejë,Parashkollor,Meshkuj,-
2017/2018,Pejë,Parashkollor,Femra,41
2017/2018,Pejë,Parashkollor,Gjithsej,41
2017/2018,Pejë,Paraf.fillor dhe i mesëm i ulët,Meshkuj,289
2017/2018,Pejë,Paraf.fillor dhe i mesëm i ulët,Femra,615
2017/2018,Pejë,Paraf.fillor dhe i mesëm i ulët,Gjithsej,904
2017/2018,Pejë,I Mesëm i lartë,Meshkuj,209
2017/2018,Pejë,I Mesëm i lartë,Femra,163
2017/2018,Pejë,I Mesëm i lartë,Gjithsej,372
2017/2018,Podujevë,Parashkollor,Meshkuj,-
2017/2018,Podujevë,Parashkollor,Femra,8
2017/2018,Podujevë,Parashkollor,Gjithsej,8
2017/2018,Podujevë,Paraf.fillor dhe i mesëm i ulët,Meshkuj,459
2017/2018,Podujevë,Paraf.fillor dhe i mesëm i ulët,Femra,484
2017/2018,Podujevë,Paraf.fillor dhe i mesëm i ulët,Gjithsej,943
2017/2018,Podujevë,I Mesëm i lartë,Meshkuj,158
2017/2018,Podujevë,I Mesëm i lartë,Femra,79
2017/2018,Podujevë,I Mesëm i lartë,Gjithsej,237
2017/2018,Prishtinë,Parashkollor,Meshkuj,-
2017/2018,Prishtinë,Parashkollor,Femra,197
2017/2018,Prishtinë,Parashkollor,Gjithsej,197
2017/2018,Prishtinë,Paraf.fillor dhe i mesëm i ulët,Meshkuj,381
