Komuna,Viti Akademik,Niveli Akademik,Mosha,Gjinia,Numri i nxenesve
Shterpce,2021-2022,Para-fillor,5-6,Mashkull,18
Shterpce,2021-2022,Para-fillor,5-6,Femer,15
Shtime,2021-2022,Para-fillor,5-6,Mashkull,196
Shtime,2021-2022,Para-fillor,5-6,Femer,198
Skenderaj,2021-2022,Para-fillor,5-6,Mashkull,279
Skenderaj,2021-2022,Para-fillor,5-6,Femer,261
Suhareke,2021-2022,Para-fillor,5-6,Mashkull,318
Suhareke,2021-2022,Para-fillor,5-6,Femer,296
Viti,2021-2022,Para-fillor,5-6,Mashkull,266
Viti,2021-2022,Para-fillor,5-6,Femer,251
Vushtrri,2021-2022,Para-fillor,5-6,Mashkull,496
Vushtrri,2021-2022,Para-fillor,5-6,Femer,423
Zubin Potok,2021-2022,Para-fillor,5-6,Mashkull,8
Zubin Potok,2021-2022,Para-fillor,5-6,Femer,6
Zveqan,2021-2022,Para-fillor,5-6,Mashkull,-
Zveqan,2021-2022,Para-fillor,5-6,Femer,-
Kllokot,2021-2022,Para-fillor,5-6,Mashkull,10
Kllokot,2021-2022,Para-fillor,5-6,Femer,4
Deqan,2022-2023,Para-fillor,5-6,Mashkull,185
Deqan,2022-2023,Para-fillor,5-6,Femer,214
Dargash,2022-2023,Para-fillor,5-6,Mashkull,124
Dargash,2022-2023,Para-fillor,5-6,Femer,128
Ferizaj,2022-2023,Para-fillor,5-6,Mashkull,731
Ferizaj,2022-2023,Para-fillor,5-6,Femer,731
Fushe Kosove,2022-2023,Para-fillor,5-6,Mashkull,80
Fushe Kosove,2022-2023,Para-fillor,5-6,Femer,70
Gjakove,2022-2023,Para-fillor,5-6,Mashkull,484
Gjakove,2022-2023,Para-fillor,5-6,Femer,412
Gjilan,2022-2023,Para-fillor,5-6,Mashkull,544
Gjilan,2022-2023,Para-fillor,5-6,Femer,539
Gllogovc,2022-2023,Para-fillor,5-6,Mashkull,409
Gllogovc,2022-2023,Para-fillor,5-6,Femer,408
Hani i Elezit,2022-2023,Para-fillor,5-6,Mashkull,57
Hani i Elezit,2022-2023,Para-fillor,5-6,Femer,54
Istog,2022-2023,Para-fillor,5-6,Mashkull,219
Istog,2022-2023,Para-fillor,5-6,Femer,215
Junik,2022-2023,Para-fillor,5-6,Mashkull,24
Junik,2022-2023,Para-fillor,5-6,Femer,20
Kaqanik,2022-2023,Para-fillor,5-6,Mashkull,225
Kaqanik,2022-2023,Para-fillor,5-6,Femer,223
Kamenice,2022-2023,Para-fillor,5-6,Mashkull,137
Kamenice,2022-2023,Para-fillor,5-6,Femer,126
Kline,2022-2023,Para-fillor,5-6,Mashkull,197
Kline,2022-2023,Para-fillor,5-6,Femer,195
Leposaviq,2022-2023,Para-fillor,5-6,Mashkull,-
Leposaviq,2022-2023,Para-fillor,5-6,Femer,-
Lipjan,2022-2023,Para-fillor,5-6,Mashkull,405
Lipjan,2022-2023,Para-fillor,5-6,Femer,390
Malisheve,2022-2023,Para-fillor,5-6,Mashkull,398
Malisheve,2022-2023,Para-fillor,5-6,Femer,334
Mamushe,2022-2023,Para-fillor,5-6,Mashkull,38
Mamushe,2022-2023,Para-fillor,5-6,Femer,28
Mitrovice,2022-2023,Para-fillor,5-6,Mashkull,492
Mitrovice,2022-2023,Para-fillor,5-6,Femer,459
Novoberde,2022-2023,Para-fillor,5-6,Mashkull,21
Novoberde,2022-2023,Para-fillor,5-6,Femer,24
Obiliq,2022-2023,Para-fillor,5-6,Mashkull,137
Obiliq,2022-2023,Para-fillor,5-6,Femer,124
Peje,2022-2023,Para-fillor,5-6,Mashkull,491
Peje,2022-2023,Para-fillor,5-6,Femer,465
Podujeve,2022-2023,Para-fillor,5-6,Mashkull,476
Podujeve,2022-2023,Para-fillor,5-6,Femer,463
Prishtine,2022-2023,Para-fillor,5-6,Mashkull,1143
Prishtine,2022-2023,Para-fillor,5-6,Femer,1068
Prizren,2022-2023,Para-fillor,5-6,Mashkull,841
Prizren,2022-2023,Para-fillor,5-6,Femer,771
Rahovec,2022-2023,Para-fillor,5-6,Mashkull,353
Rahovec,2022-2023,Para-fillor,5-6,Femer,316
Shterpce,2022-2023,Para-fillor,5-6,Mashkull,12
Shterpce,2022-2023,Para-fillor,5-6,Femer,10
Shtime,2022-2023,Para-fillor,5-6,Mashkull,183
Shtime,2022-2023,Para-fillor,5-6,Femer,176
Skenderaj,2022-2023,Para-fillor,5-6,Mashkull,281
Skenderaj,2022-2023,Para-fillor,5-6,Femer,284
Suhareke,2022-2023,Para-fillor,5-6,Mashkull,300
Suhareke,2022-2023,Para-fillor,5-6,Femer,266
Viti,2022-2023,Para-fillor,5-6,Mashkull,277
Viti,2022-2023,Para-fillor,5-6,Femer,276
Vushtrri,2022-2023,Para-fillor,5-6,Mashkull,453
Vushtrri,2022-2023,Para-fillor,5-6,Femer,428
Zubin Potok,2022-2023,Para-fillor,5-6,Mashkull,1
Zubin Potok,2022-2023,Para-fillor,5-6,Femer,4
Zveqan,2022-2023,Para-fillor,5-6,Mashkull,-
Zveqan,2022-2023,Para-fillor,5-6,Femer,-
Kllokot,2022-2023,Para-fillor,5-6,Mashkull,3
Kllokot,2022-2023,Para-fillor,5-6,Femer,4
Deqan,2023-2024,Para-fillor,5-6,Mashkull,203
Deqan,2023-2024,Para-fillor,5-6,Femer,174
Dargash,2023-2024,Para-fillor,5-6,Mashkull,106
Dargash,2023-2024,Para-fillor,5-6,Femer,123
Ferizaj,2023-2024,Para-fillor,5-6,Mashkull,673
Ferizaj,2023-2024,Para-fillor,5-6,Femer,748
Fushe Kosove,2023-2024,Para-fillor,5-6,Mashkull,70
Fushe Kosove,2023-2024,Para-fillor,5-6,Femer,70
Gjakove,2023-2024,Para-fillor,5-6,Mashkull,426
Gjakove,2023-2024,Para-fillor,5-6,Femer,372
Gjilan,2023-2024,Para-fillor,5-6,Mashkull,554
Gjilan,2023-2024,Para-fillor,5-6,Femer,542
Gllogovc,2023-2024,Para-fillor,5-6,Mashkull,371
Gllogovc,2023-2024,Para-fillor,5-6,Femer,339
Hani i Elezit,2023-2024,Para-fillor,5-6,Mashkull,64
Hani i Elezit,2023-2024,Para-fillor,5-6,Femer,55
Istog,2023-2024,Para-fillor,5-6,Mashkull,205
Istog,2023-2024,Para-fillor,5-6,Femer,195
Junik,2023-2024,Para-fillor,5-6,Mashkull,16
Junik,2023-2024,Para-fillor,5-6,Femer,10
Kaqanik,2023-2024,Para-fillor,5-6,Mashkull,218
Kaqanik,2023-2024,Para-fillor,5-6,Femer,174
Kamenice,2023-2024,Para-fillor,5-6,Mashkull,146
Kamenice,2023-2024,Para-fillor,5-6,Femer,114
Kline,2023-2024,Para-fillor,5-6,Mashkull,209
Kline,2023-2024,Para-fillor,5-6,Femer,219
Leposaviq,2023-2024,Para-fillor,5-6,Mashkull,-
Leposaviq,2023-2024,Para-fillor,5-6,Femer,-
Lipjan,2023-2024,Para-fillor,5-6,Mashkull,412
Lipjan,2023-2024,Para-fillor,5-6,Femer,376
Malisheve,2023-2024,Para-fillor,5-6,Mashkull,379
Malisheve,2023-2024,Para-fillor,5-6,Femer,373
Mamushe,2023-2024,Para-fillor,5-6,Mashkull,35
Mamushe,2023-2024,Para-fillor,5-6,Femer,27
Mitrovice,2023-2024,Para-fillor,5-6,Mashkull,454
Mitrovice,2023-2024,Para-fillor,5-6,Femer,431
Novoberde,2023-2024,Para-fillor,5-6,Mashkull,33
Novoberde,2023-2024,Para-fillor,5-6,Femer,24
Obiliq,2023-2024,Para-fillor,5-6,Mashkull,126
Obiliq,2023-2024,Para-fillor,5-6,Femer,117
Peje,2023-2024,Para-fillor,5-6,Mashkull,433
Peje,2023-2024,Para-fillor,5-6,Femer,463
Podujeve,2023-2024,Para-fillor,5-6,Mashkull,477
Podujeve,2023-2024,Para-fillor,5-6,Femer,448
Prishtine,2023-2024,Para-fillor,5-6,Mashkull,1072
Prishtine,2023-2024,Para-fillor,5-6,Femer,1007
Prizren,2023-2024,Para-fillor,5-6,Mashkull,807
Prizren,2023-2024,Para-fillor,5-6,Femer,749
Rahovec,2023-2024,Para-fillor,5-6,Mashkull,332
Rahovec,2023-2024,Para-fillor,5-6,Femer,314
Shterpce,2023-2024,Para-fillor,5-6,Mashkull,13
Shterpce,2023-2024,Para-fillor,5-6,Femer,12
Shtime,2023-2024,Para-fillor,5-6,Mashkull,177
Shtime,2023-2024,Para-fillor,5-6,Femer,162
Skenderaj,2023-2024,Para-fillor,5-6,Mashkull,268
Skenderaj,2023-2024,Para-fillor,5-6,Femer,267
Suhareke,2023-2024,Para-fillor,5-6,Mashkull,312
Suhareke,2023-2024,Para-fillor,5-6,Femer,236
Viti,2023-2024,Para-fillor,5-6,Mashkull,269
Viti,2023-2024,Para-fillor,5-6,Femer,255
Vushtrri,2023-2024,Para-fillor,5-6,Mashkull,491
Vushtrri,2023-2024,Para-fillor,5-6,Femer,374
Zubin Potok,2023-2024,Para-fillor,5-6,Mashkull,4
Zubin Potok,2023-2024,Para-fillor,5-6,Femer,3
Zveqan,2023-2024,Para-fillor,5-6,Mashkull,2
Zveqan,2023-2024,Para-fillor,5-6,Femer,-
Kllokot,2023-2024,Para-fillor,5-6,Mashkull,3
Kllokot,2023-2024,Para-fillor,5-6,Femer,5
Deqan,2015-2016,fillor-mesem te ulet,6-15,Mashkull,2312
Deqan,2015-2016,fillor-mesem te ulet,6-15,Femer,2223
Dargash,2015-2016,fillor-mesem te ulet,6-15,Mashkull,1984
Dargash,2015-2016,fillor-mesem te ulet,6-15,Femer,1941
Ferizaj,2015-2016,fillor-mesem te ulet,6-15,Mashkull,8852
Ferizaj,2015-2016,fillor-mesem te ulet,6-15,Femer,8387
Fushe Kosove,2015-2016,fillor-mesem te ulet,6-15,Mashkull,2983
Fushe Kosove,2015-2016,fillor-mesem te ulet,6-15,Femer,2755
Gjakove,2015-2016,fillor-mesem te ulet,6-15,Mashkull,7135
Gjakove,2015-2016,fillor-mesem te ulet,6-15,Femer,6494
Gjilan,2015-2016,fillor-mesem te ulet,6-15,Mashkull,6574
Gjilan,2015-2016,fillor-mesem te ulet,6-15,Femer,6343
Gllogovc,2015-2016,fillor-mesem te ulet,6-15,Mashkull,4908
Gllogovc,2015-2016,fillor-mesem te ulet,6-15,Femer,4514
Hani i Elezit,2015-2016,fillor-mesem te ulet,6-15,Mashkull,766
Hani i Elezit,2015-2016,fillor-mesem te ulet,6-15,Femer,693
Istog,2015-2016,fillor-mesem te ulet,6-15,Mashkull,3004
Istog,2015-2016,fillor-mesem te ulet,6-15,Femer,2722
Junik,2015-2016,fillor-mesem te ulet,6-15,Mashkull,304
Junik,2015-2016,fillor-mesem te ulet,6-15,Femer,292
Kaqanik,2015-2016,fillor-mesem te ulet,6-15,Mashkull,2456
Kaqanik,2015-2016,fillor-mesem te ulet,6-15,Femer,2390
Kamenice,2015-2016,fillor-mesem te ulet,6-15,Mashkull,1939
Kamenice,2015-2016,fillor-mesem te ulet,6-15,Femer,1881
Kline,2015-2016,fillor-mesem te ulet,6-15,Mashkull,3297
Kline,2015-2016,fillor-mesem te ulet,6-15,Femer,3206
Leposaviq,2015-2016,fillor-mesem te ulet,6-15,Mashkull,14
Leposaviq,2015-2016,fillor-mesem te ulet,6-15,Femer,16
Lipjan,2015-2016,fillor-mesem te ulet,6-15,Mashkull,4951
Lipjan,2015-2016,fillor-mesem te ulet,6-15,Femer,4630
Malisheve,2015-2016,fillor-mesem te ulet,6-15,Mashkull,5529
Malisheve,2015-2016,fillor-mesem te ulet,6-15,Femer,5130
Mamushe,2015-2016,fillor-mesem te ulet,6-15,Mashkull,379
Mamushe,2015-2016,fillor-mesem te ulet,6-15,Femer,360
Mitrovice,2015-2016,fillor-mesem te ulet,6-15,Mashkull,5955
Mitrovice,2015-2016,fillor-mesem te ulet,6-15,Femer,5724
Novoberde,2015-2016,fillor-mesem te ulet,6-15,Mashkull,256
Novoberde,2015-2016,fillor-mesem te ulet,6-15,Femer,232
Obiliq,2015-2016,fillor-mesem te ulet,6-15,Mashkull,1687
Obiliq,2015-2016,fillor-mesem te ulet,6-15,Femer,1627
Peje,2015-2016,fillor-mesem te ulet,6-15,Mashkull,6993
Peje,2015-2016,fillor-mesem te ulet,6-15,Femer,6646
Podujeve,2015-2016,fillor-mesem te ulet,6-15,Mashkull,7514
Podujeve,2015-2016,fillor-mesem te ulet,6-15,Femer,7034
Prishtine,2015-2016,fillor-mesem te ulet,6-15,Mashkull,15739
Prishtine,2015-2016,fillor-mesem te ulet,6-15,Femer,14778
Prizren,2015-2016,fillor-mesem te ulet,6-15,Mashkull,12452
Prizren,2015-2016,fillor-mesem te ulet,6-15,Femer,11607
Rahovec,2015-2016,fillor-mesem te ulet,6-15,Mashkull,4373
Rahovec,2015-2016,fillor-mesem te ulet,6-15,Femer,3902
Shterpce,2015-2016,fillor-mesem te ulet,6-15,Mashkull,241
Shterpce,2015-2016,fillor-mesem te ulet,6-15,Femer,288
Shtime,2015-2016,fillor-mesem te ulet,6-15,Mashkull,2287
Shtime,2015-2016,fillor-mesem te ulet,6-15,Femer,2164
Skenderaj,2015-2016,fillor-mesem te ulet,6-15,Mashkull,4261
Skenderaj,2015-2016,fillor-mesem te ulet,6-15,Femer,3994
Suhareke,2015-2016,fillor-mesem te ulet,6-15,Mashkull,4888
Suhareke,2015-2016,fillor-mesem te ulet,6-15,Femer,4422
Viti,2015-2016,fillor-mesem te ulet,6-15,Mashkull,3580
Viti,2015-2016,fillor-mesem te ulet,6-15,Femer,3481
Vushtrri,2015-2016,fillor-mesem te ulet,6-15,Mashkull,5522
Vushtrri,2015-2016,fillor-mesem te ulet,6-15,Femer,5148
Zubin Potok,2015-2016,fillor-mesem te ulet,6-15,Mashkull,55
Zubin Potok,2015-2016,fillor-mesem te ulet,6-15,Femer,54
Zveqan,2015-2016,fillor-mesem te ulet,6-15,Mashkull,26
Zveqan,2015-2016,fillor-mesem te ulet,6-15,Femer,29
Kllokot,2015-2016,fillor-mesem te ulet,6-15,Mashkull,81
Kllokot,2015-2016,fillor-mesem te ulet,6-15,Femer,60
Deqan,2016-2017,fillor-mesem te ulet,6-15,Mashkull,2198
Deqan,2016-2017,fillor-mesem te ulet,6-15,Femer,2110
Dargash,2016-2017,fillor-mesem te ulet,6-15,Mashkull,1815
Dargash,2016-2017,fillor-mesem te ulet,6-15,Femer,1753
Ferizaj,2016-2017,fillor-mesem te ulet,6-15,Mashkull,8566
Ferizaj,2016-2017,fillor-mesem te ulet,6-15,Femer,8188
Fushe Kosove,2016-2017,fillor-mesem te ulet,6-15,Mashkull,3147
Fushe Kosove,2016-2017,fillor-mesem te ulet,6-15,Femer,2848
Gjakove,2016-2017,fillor-mesem te ulet,6-15,Mashkull,6871
Gjakove,2016-2017,fillor-mesem te ulet,6-15,Femer,6045
Gjilan,2016-2017,fillor-mesem te ulet,6-15,Mashkull,6258
Gjilan,2016-2017,fillor-mesem te ulet,6-15,Femer,6007
Gllogovc,2016-2017,fillor-mesem te ulet,6-15,Mashkull,4664
Gllogovc,2016-2017,fillor-mesem te ulet,6-15,Femer,4284
Hani i Elezit,2016-2017,fillor-mesem te ulet,6-15,Mashkull,751
Hani i Elezit,2016-2017,fillor-mesem te ulet,6-15,Femer,662
Istog,2016-2017,fillor-mesem te ulet,6-15,Mashkull,2920
Istog,2016-2017,fillor-mesem te ulet,6-15,Femer,2677
Junik,2016-2017,fillor-mesem te ulet,6-15,Mashkull,295
Junik,2016-2017,fillor-mesem te ulet,6-15,Femer,264
Kaqanik,2016-2017,fillor-mesem te ulet,6-15,Mashkull,2436
Kaqanik,2016-2017,fillor-mesem te ulet,6-15,Femer,2287
Kamenice,2016-2017,fillor-mesem te ulet,6-15,Mashkull,1814
Kamenice,2016-2017,fillor-mesem te ulet,6-15,Femer,1744
Kline,2016-2017,fillor-mesem te ulet,6-15,Mashkull,3095
Kline,2016-2017,fillor-mesem te ulet,6-15,Femer,3023
Leposaviq,2016-2017,fillor-mesem te ulet,6-15,Mashkull,14
Leposaviq,2016-2017,fillor-mesem te ulet,6-15,Femer,15
Lipjan,2016-2017,fillor-mesem te ulet,6-15,Mashkull,4741
Lipjan,2016-2017,fillor-mesem te ulet,6-15,Femer,4441
Malisheve,2016-2017,fillor-mesem te ulet,6-15,Mashkull,5111
Malisheve,2016-2017,fillor-mesem te ulet,6-15,Femer,4730
Mamushe,2016-2017,fillor-mesem te ulet,6-15,Mashkull,350
Mamushe,2016-2017,fillor-mesem te ulet,6-15,Femer,351
Mitrovice,2016-2017,fillor-mesem te ulet,6-15,Mashkull,5752
Mitrovice,2016-2017,fillor-mesem te ulet,6-15,Femer,5443
Novoberde,2016-2017,fillor-mesem te ulet,6-15,Mashkull,257
Novoberde,2016-2017,fillor-mesem te ulet,6-15,Femer,224
Obiliq,2016-2017,fillor-mesem te ulet,6-15,Mashkull,1656
Obiliq,2016-2017,fillor-mesem te ulet,6-15,Femer,1555
Peje,2016-2017,fillor-mesem te ulet,6-15,Mashkull,6753
Peje,2016-2017,fillor-mesem te ulet,6-15,Femer,6375
Podujeve,2016-2017,fillor-mesem te ulet,6-15,Mashkull,7229
Podujeve,2016-2017,fillor-mesem te ulet,6-15,Femer,6724
Prishtine,2016-2017,fillor-mesem te ulet,6-15,Mashkull,15437
Prishtine,2016-2017,fillor-mesem te ulet,6-15,Femer,14729
Prizren,2016-2017,fillor-mesem te ulet,6-15,Mashkull,11923
Prizren,2016-2017,fillor-mesem te ulet,6-15,Femer,11062
Rahovec,2016-2017,fillor-mesem te ulet,6-15,Mashkull,4091
Rahovec,2016-2017,fillor-mesem te ulet,6-15,Femer,3725
Shterpce,2016-2017,fillor-mesem te ulet,6-15,Mashkull,243
Shterpce,2016-2017,fillor-mesem te ulet,6-15,Femer,272
Shtime,2016-2017,fillor-mesem te ulet,6-15,Mashkull,2188
Shtime,2016-2017,fillor-mesem te ulet,6-15,Femer,2093
Skenderaj,2016-2017,fillor-mesem te ulet,6-15,Mashkull,3994
Skenderaj,2016-2017,fillor-mesem te ulet,6-15,Femer,3781
Suhareke,2016-2017,fillor-mesem te ulet,6-15,Mashkull,4513
Suhareke,2016-2017,fillor-mesem te ulet,6-15,Femer,4131
Viti,2016-2017,fillor-mesem te ulet,6-15,Mashkull,3364
Viti,2016-2017,fillor-mesem te ulet,6-15,Femer,3242
Vushtrri,2016-2017,fillor-mesem te ulet,6-15,Mashkull,5346
Vushtrri,2016-2017,fillor-mesem te ulet,6-15,Femer,4953
Zubin Potok,2016-2017,fillor-mesem te ulet,6-15,Mashkull,56
Zubin Potok,2016-2017,fillor-mesem te ulet,6-15,Femer,53
Zveqan,2016-2017,fillor-mesem te ulet,6-15,Mashkull,27
Zveqan,2016-2017,fillor-mesem te ulet,6-15,Femer,31
Kllokot,2016-2017,fillor-mesem te ulet,6-15,Mashkull,60
Kllokot,2016-2017,fillor-mesem te ulet,6-15,Femer,67
Deqan,2017-2018,fillor-mesem te ulet,6-15,Mashkull,2146
Deqan,2017-2018,fillor-mesem te ulet,6-15,Femer,2050
Dargash,2017-2018,fillor-mesem te ulet,6-15,Mashkull,1664
Dargash,2017-2018,fillor-mesem te ulet,6-15,Femer,1669
Ferizaj,2017-2018,fillor-mesem te ulet,6-15,Mashkull,8331
Ferizaj,2017-2018,fillor-mesem te ulet,6-15,Femer,7992
Fushe Kosove,2017-2018,fillor-mesem te ulet,6-15,Mashkull,3296
Fushe Kosove,2017-2018,fillor-mesem te ulet,6-15,Femer,2974
Gjakove,2017-2018,fillor-mesem te ulet,6-15,Mashkull,6506
Gjakove,2017-2018,fillor-mesem te ulet,6-15,Femer,5826
Gjilan,2017-2018,fillor-mesem te ulet,6-15,Mashkull,5936
Gjilan,2017-2018,fillor-mesem te ulet,6-15,Femer,5719
Gllogovc,2017-2018,fillor-mesem te ulet,6-15,Mashkull,4575
Gllogovc,2017-2018,fillor-mesem te ulet,6-15,Femer,4250
Hani i Elezit,2017-2018,fillor-mesem te ulet,6-15,Mashkull,751
Hani i Elezit,2017-2018,fillor-mesem te ulet,6-15,Femer,662
Istog,2017-2018,fillor-mesem te ulet,6-15,Mashkull,2838
Istog,2017-2018,fillor-mesem te ulet,6-15,Femer,2584
Junik,2017-2018,fillor-mesem te ulet,6-15,Mashkull,283
Junik,2017-2018,fillor-mesem te ulet,6-15,Femer,267
Kaqanik,2017-2018,fillor-mesem te ulet,6-15,Mashkull,2388
Kaqanik,2017-2018,fillor-mesem te ulet,6-15,Femer,2249
Kamenice,2017-2018,fillor-mesem te ulet,6-15,Mashkull,1707
Kamenice,2017-2018,fillor-mesem te ulet,6-15,Femer,1644
Kline,2017-2018,fillor-mesem te ulet,6-15,Mashkull,3047
Kline,2017-2018,fillor-mesem te ulet,6-15,Femer,2968
Leposaviq,2017-2018,fillor-mesem te ulet,6-15,Mashkull,14
Leposaviq,2017-2018,fillor-mesem te ulet,6-15,Femer,10
Lipjan,2017-2018,fillor-mesem te ulet,6-15,Mashkull,4656
Lipjan,2017-2018,fillor-mesem te ulet,6-15,Femer,4331
Malisheve,2017-2018,fillor-mesem te ulet,6-15,Mashkull,4776
Malisheve,2017-2018,fillor-mesem te ulet,6-15,Femer,4552
Mamushe,2017-2018,fillor-mesem te ulet,6-15,Mashkull,355
Mamushe,2017-2018,fillor-mesem te ulet,6-15,Femer,338
Mitrovice,2017-2018,fillor-mesem te ulet,6-15,Mashkull,5599
Mitrovice,2017-2018,fillor-mesem te ulet,6-15,Femer,5397
Novoberde,2017-2018,fillor-mesem te ulet,6-15,Mashkull,256
Novoberde,2017-2018,fillor-mesem te ulet,6-15,Femer,222
Obiliq,2017-2018,fillor-mesem te ulet,6-15,Mashkull,1585
Obiliq,2017-2018,fillor-mesem te ulet,6-15,Femer,1540
Peje,2017-2018,fillor-mesem te ulet,6-15,Mashkull,6706
Peje,2017-2018,fillor-mesem te ulet,6-15,Femer,6315
Podujeve,2017-2018,fillor-mesem te ulet,6-15,Mashkull,6856
Podujeve,2017-2018,fillor-mesem te ulet,6-15,Femer,6407
Prishtine,2017-2018,fillor-mesem te ulet,6-15,Mashkull,15405
Prishtine,2017-2018,fillor-mesem te ulet,6-15,Femer,14682
Prizren,2017-2018,fillor-mesem te ulet,6-15,Mashkull,11495
Prizren,2017-2018,fillor-mesem te ulet,6-15,Femer,10699
Rahovec,2017-2018,fillor-mesem te ulet,6-15,Mashkull,3954
Rahovec,2017-2018,fillor-mesem te ulet,6-15,Femer,3552
Shterpce,2017-2018,fillor-mesem te ulet,6-15,Mashkull,227
Shterpce,2017-2018,fillor-mesem te ulet,6-15,Femer,244
Shtime,2017-2018,fillor-mesem te ulet,6-15,Mashkull,2151
Shtime,2017-2018,fillor-mesem te ulet,6-15,Femer,1978
Skenderaj,2017-2018,fillor-mesem te ulet,6-15,Mashkull,3793
Skenderaj,2017-2018,fillor-mesem te ulet,6-15,Femer,3554
Suhareke,2017-2018,fillor-mesem te ulet,6-15,Mashkull,4322
Suhareke,2017-2018,fillor-mesem te ulet,6-15,Femer,3972
Viti,2017-2018,fillor-mesem te ulet,6-15,Mashkull,3100
Viti,2017-2018,fillor-mesem te ulet,6-15,Femer,3006
Vushtrri,2017-2018,fillor-mesem te ulet,6-15,Mashkull,5273
Vushtrri,2017-2018,fillor-mesem te ulet,6-15,Femer,4853
Zubin Potok,2017-2018,fillor-mesem te ulet,6-15,Mashkull,55
Zubin Potok,2017-2018,fillor-mesem te ulet,6-15,Femer,50
Zveqan,2017-2018,fillor-mesem te ulet,6-15,Mashkull,28
Zveqan,2017-2018,fillor-mesem te ulet,6-15,Femer,34
Kllokot,2017-2018,fillor-mesem te ulet,6-15,Mashkull,57
Kllokot,2017-2018,fillor-mesem te ulet,6-15,Femer,61
Deqan,2018-2019,fillor-mesem te ulet,6-15,Mashkull,2078
Deqan,2018-2019,fillor-mesem te ulet,6-15,Femer,1971
Dargash,2018-2019,fillor-mesem te ulet,6-15,Mashkull,1622
Dargash,2018-2019,fillor-mesem te ulet,6-15,Femer,1525
Ferizaj,2018-2019,fillor-mesem te ulet,6-15,Mashkull,8124
Ferizaj,2018-2019,fillor-mesem te ulet,6-15,Femer,7747
Fushe Kosove,2018-2019,fillor-mesem te ulet,6-15,Mashkull,3483
Fushe Kosove,2018-2019,fillor-mesem te ulet,6-15,Femer,3185
Gjakove,2018-2019,fillor-mesem te ulet,6-15,Mashkull,6218
Gjakove,2018-2019,fillor-mesem te ulet,6-15,Femer,562
Gjilan,2018-2019,fillor-mesem te ulet,6-15,Mashkull,5733
Gjilan,2018-2019,fillor-mesem te ulet,6-15,Femer,5591
Gllogovc,2018-2019,fillor-mesem te ulet,6-15,Mashkull,4453
Gllogovc,2018-2019,fillor-mesem te ulet,6-15,Femer,4121
Hani i Elezit,2018-2019,fillor-mesem te ulet,6-15,Mashkull,719
Hani i Elezit,2018-2019,fillor-mesem te ulet,6-15,Femer,670
Istog,2018-2019,fillor-mesem te ulet,6-15,Mashkull,2701
Istog,2018-2019,fillor-mesem te ulet,6-15,Femer,251
Junik,2018-2019,fillor-mesem te ulet,6-15,Mashkull,289
Junik,2018-2019,fillor-mesem te ulet,6-15,Femer,262
Kaqanik,2018-2019,fillor-mesem te ulet,6-15,Mashkull,2334
Kaqanik,2018-2019,fillor-mesem te ulet,6-15,Femer,2198
Kamenice,2018-2019,fillor-mesem te ulet,6-15,Mashkull,1591
Kamenice,2018-2019,fillor-mesem te ulet,6-15,Femer,1546
Kline,2018-2019,fillor-mesem te ulet,6-15,Mashkull,2907
Kline,2018-2019,fillor-mesem te ulet,6-15,Femer,2885
Leposaviq,2018-2019,fillor-mesem te ulet,6-15,Mashkull,13
Leposaviq,2018-2019,fillor-mesem te ulet,6-15,Femer,9
Lipjan,2018-2019,fillor-mesem te ulet,6-15,Mashkull,4616
Lipjan,2018-2019,fillor-mesem te ulet,6-15,Femer,4294
Malisheve,2018-2019,fillor-mesem te ulet,6-15,Mashkull,4721
Malisheve,2018-2019,fillor-mesem te ulet,6-15,Femer,4432
Mamushe,2018-2019,fillor-mesem te ulet,6-15,Mashkull,356
Mamushe,2018-2019,fillor-mesem te ulet,6-15,Femer,321
Mitrovice,2018-2019,fillor-mesem te ulet,6-15,Mashkull,5438
Mitrovice,2018-2019,fillor-mesem te ulet,6-15,Femer,5403
Novoberde,2018-2019,fillor-mesem te ulet,6-15,Mashkull,235
Novoberde,2018-2019,fillor-mesem te ulet,6-15,Femer,232
Obiliq,2018-2019,fillor-mesem te ulet,6-15,Mashkull,1621
Obiliq,2018-2019,fillor-mesem te ulet,6-15,Femer,1515
Peje,2018-2019,fillor-mesem te ulet,6-15,Mashkull,6422
Peje,2018-2019,fillor-mesem te ulet,6-15,Femer,6115
Podujeve,2018-2019,fillor-mesem te ulet,6-15,Mashkull,6646
Podujeve,2018-2019,fillor-mesem te ulet,6-15,Femer,6274
Prishtine,2018-2019,fillor-mesem te ulet,6-15,Mashkull,15305
Prishtine,2018-2019,fillor-mesem te ulet,6-15,Femer,14588
Prizren,2018-2019,fillor-mesem te ulet,6-15,Mashkull,11158
Prizren,2018-2019,fillor-mesem te ulet,6-15,Femer,10449
Rahovec,2018-2019,fillor-mesem te ulet,6-15,Mashkull,3772
Rahovec,2018-2019,fillor-mesem te ulet,6-15,Femer,3426
Shterpce,2018-2019,fillor-mesem te ulet,6-15,Mashkull,208
Shterpce,2018-2019,fillor-mesem te ulet,6-15,Femer,242
Shtime,2018-2019,fillor-mesem te ulet,6-15,Mashkull,2053
Shtime,2018-2019,fillor-mesem te ulet,6-15,Femer,1959
Skenderaj,2018-2019,fillor-mesem te ulet,6-15,Mashkull,3682
Skenderaj,2018-2019,fillor-mesem te ulet,6-15,Femer,338
